Year,Value,Units,Series
2010,19729128.0,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2011,17601676.0,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2012,18501042.0,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2013,24104887.0,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2014,22295597.0,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2015,17474495.0,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2016,23322041.0,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2017,29123447.3,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2018,32180263.7,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2019,47427293.0,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2020,30338376.1,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2021,34883781.8,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2022,102063223.8,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2023,128675175.4,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2024,110363475.7,долларов США,Объем отслеживаемых экспортируемых экологически чистых технологий
2010,229483676.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2011,174337163.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2012,177370787.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2013,238356795.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2014,240982150.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2015,161357732.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2016,165319783.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2017,216430808.2,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2018,291616633.7,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2019,284135254.4,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2020,343301048.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2021,344367925.1,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2022,367618683.5,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
2023,426809065.0,долларов США,Объем отслеживаемых импортируемых экологически чистых технологий
