Year,Units,Value
2015,"per 100,000 population",11.5
2016,"per 100,000 population",8.9
2017,"per 100,000 population",9.4
2018,"per 100,000 population",11.6
2019,"per 100,000 population",11.5
2020,"per 100,000 population",11.8
2015,person,346.0
2016,person,267.0
2017,person,279.0
2018,person,343.0
2019,person,341.0
2020,person,348.0
2021,person,368.0
2021,"per 100,000 population",12.4
2022,person,321.0
2022,"per 100,000 population",10.8
2023,"per 100,000 population",12.8
2023,person,378.0
2024,"per 100,000 population",11.0
2024,person,333.0
