Year,Units,Sex,Age,Value
2015,per 100 000 population,total,aged 15-34 years,1.5
2015,per 100 000 population,total,aged 35-59 years,1.9
2015,per 100 000 population,total,aged 60 and over,1.0
2015,per 100 000 population,male,aged 15-34 years,2.5
2015,per 100 000 population,male,aged 35-59 years,2.4
2015,per 100 000 population,male,aged 60 and over,1.0
2015,per 100 000 population,female,aged 15-34 years,0.4
2015,per 100 000 population,female,aged 35-59 years,1.5
2015,per 100 000 population,female,aged 60 and over,1.1
2016,per 100 000 population,total,aged 15-34 years,1.8
2016,per 100 000 population,total,aged 35-59 years,1.1
2016,per 100 000 population,total,aged 60 and over,1.2
2016,per 100 000 population,male,aged 15-34 years,3.1
2016,per 100 000 population,male,aged 35-59 years,2.0
2016,per 100 000 population,male,aged 60 and over,1.5
2016,per 100 000 population,female,aged 15-34 years,0.6
2016,per 100 000 population,female,aged 35-59 years,0.4
2016,per 100 000 population,female,aged 60 and over,1.0
2017,per 100 000 population,total,aged 15-34 years,1.4
2017,per 100 000 population,total,aged 35-59 years,2.0
2017,per 100 000 population,total,aged 60 and over,1.0
2017,per 100 000 population,male,aged 15-34 years,2.9
2017,per 100 000 population,male,aged 35-59 years,3.6
2017,per 100 000 population,male,aged 60 and over,1.0
2017,per 100 000 population,female,aged 15-34 years,0.0
2017,per 100 000 population,female,aged 35-59 years,0.6
2017,per 100 000 population,female,aged 60 and over,1.0
2018,per 100 000 population,total,aged 15-34 years,0.2
2018,per 100 000 population,total,aged 35-59 years,0.5
2018,per 100 000 population,total,aged 60 and over,0.4
2018,per 100 000 population,male,aged 15-34 years,0.5
2018,per 100 000 population,male,aged 35-59 years,0.9
2018,per 100 000 population,male,aged 60 and over,0.9
2018,per 100 000 population,female,aged 15-34 years,0.0
2018,per 100 000 population,female,aged 35-59 years,0.2
2018,per 100 000 population,female,aged 60 and over,0.0
2019,per 100 000 population,total,aged 15-34 years,1.2
2019,per 100 000 population,total,aged 35-59 years,0.8
2019,per 100 000 population,total,aged 60 and over,1.1
2019,per 100 000 population,male,aged 15-34 years,2.4
2019,per 100 000 population,male,aged 35-59 years,1.6
2019,per 100 000 population,male,aged 60 and over,1.3
2019,per 100 000 population,female,aged 15-34 years,0.0
2019,per 100 000 population,female,aged 35-59 years,0.2
2019,per 100 000 population,female,aged 60 and over,0.9
2020,per 100 000 population,total,aged 15-34 years,1.2
2020,per 100 000 population,total,aged 35-59 years,0.2
2020,per 100 000 population,total,aged 60 and over,1.1
2020,per 100 000 population,male,aged 15-34 years,2.4
2020,per 100 000 population,male,aged 35-59 years,0.5
2020,per 100 000 population,male,aged 60 and over,1.7
2020,per 100 000 population,female,aged 15-34 years,0.0
2020,per 100 000 population,female,aged 35-59 years,0.0
