Year,Units,Կատեգորիա,Value
2015,%,ա) ազգային խորհրդարաններ,10.7
2016,%,ա) ազգային խորհրդարաններ,9.9
2017,%,ա) ազգային խորհրդարաններ,18.1
2018,%,ա) ազգային խորհրդարաններ,19.0
2019,%,ա) ազգային խորհրդարաններ,23.0
2020,%,ա) ազգային խորհրդարաններ,22.7
2015,%,բ) տեղական իշխանությունները,8.7
2016,%,բ) տեղական իշխանությունները,10.8
2017,%,բ) տեղական իշխանությունները,9.4
2018,%,բ) տեղական իշխանությունները,9.0
2019,%,բ) տեղական իշխանությունները,9.0
2020,%,բ) տեղական իշխանությունները,9.1
2021,%,բ) տեղական իշխանությունները,24.7
2021,%,ա) ազգային խորհրդարաններ,35.5
2022,%,ա) ազգային խորհրդարաններ,35.5
2022,%,բ) տեղական իշխանությունները,28.0
2023,%,ա) ազգային խորհրդարաններ,36.4
2023,%,բ) տեղական իշխանությունները,27.8
