Year,Units,Հարց,Value
2015,միավորներ,1,1.0
2015,միավորներ,2,0.0
2015,միավորներ,3,1.0
2015,միավորներ,4,0.6
2015,միավորներ,5,1.0
2015,միավորներ,6,0.0
2015,միավորներ,7,0.0
2015,միավորներ,8,0.0
2016,միավորներ,1,1.0
2016,միավորներ,2,0.0
2016,միավորներ,3,1.0
2016,միավորներ,4,0.6
2016,միավորներ,5,1.0
2016,միավորներ,6,0.0
2016,միավորներ,7,0.0
2016,միավորներ,8,0.0
2017,միավորներ,1,1.0
2017,միավորներ,2,0.0
2017,միավորներ,3,1.0
2017,միավորներ,4,0.6
2017,միավորներ,5,1.0
2017,միավորներ,6,0.0
2017,միավորներ,7,0.0
2017,միավորներ,8,0.0
2018,միավորներ,1,1.0
2018,միավորներ,2,0.0
2018,միավորներ,3,1.0
2018,միավորներ,4,0.6
2018,միավորներ,5,1.0
2018,միավորներ,6,0.0
2018,միավորներ,7,0.0
2018,միավորներ,8,0.0
2019,միավորներ,1,1.0
2019,միավորներ,2,0.0
2019,միավորներ,3,1.0
2019,միավորներ,4,0.6
2019,միավորներ,5,1.0
2019,միավորներ,6,0.0
2019,միավորներ,7,0.0
2019,միավորներ,8,0.0
2020,միավորներ,1,1.0
2020,միավորներ,2,0.0
2020,միավորներ,3,1.0
2020,միավորներ,4,0.6
2020,միավորներ,5,1.0
2020,միավորներ,6,0.0
2020,միավորներ,7,0.0
2020,միավորներ,8,0.0
2021,միավորներ,1,1.0
2021,միավորներ,2,0.0
2021,միավորներ,3,1.0
2021,միավորներ,4,0.6
2021,միավորներ,5,1.0
2021,միավորներ,6,0.0
2021,միավորներ,7,0.0
2021,միավորներ,8,0.0
2022,միավորներ,1,1.0
2022,միավորներ,2,0.0
2022,միավորներ,3,1.0
2022,միավորներ,4,0.6
2022,միավորներ,5,1.0
2022,միավորներ,6,0.0
2022,միավորներ,7,0.0
2022,միավորներ,8,0.0
2023,միավորներ,1,1.0
2023,միավորներ,2,0.0
2023,միավորներ,3,1.0
2023,միավորներ,4,0.6
2023,միավորներ,5,1.0
2023,միավորներ,6,0.0
2023,միավորներ,7,0.0
2023,միավորներ,8,0.0
2024,միավորներ,1,1.0
2024,միավորներ,2,0.0
2024,միավորներ,3,1.0
2024,միավորներ,4,0.6
2024,միավորներ,5,1.0
2024,միավորներ,6,0.0
2024,միավորներ,7,0.0
2024,միավորներ,8,0.0
