Year,Units,Категория,Value
2010-2015,%,Расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,102.51
2011-2016,%,Расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,102.24
2012-2017,%,Расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,101.8
2013-2018,%,Расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,101.26
2020,%,Расходы домохозяйств или рост доходов на душу населения среди самых низких 40 процентов населения,100.07
2010-2015,%,Расходы домохозяйств или рост доходов на душу населения среди всего населения,103.83
2011-2016,%,Расходы домохозяйств или рост доходов на душу населения среди всего населения,104.47
2012-2017,%,Расходы домохозяйств или рост доходов на душу населения среди всего населения,103.16
2013-2018,%,Расходы домохозяйств или рост доходов на душу населения среди всего населения,102.4
2020,%,Расходы домохозяйств или рост доходов на душу населения среди всего населения,99.07
