Year,Units,Пол,Value
2015,"на 100,000 населения",ընդամենը,0.3
2016,"на 100,000 населения",ընդամենը,0.2
2017,"на 100,000 населения",ընդամենը,0.3
2015,случаи,ընդամենը,8.0
2016,случаи,ընդամենը,7.0
2017,случаи,ընդամենը,10.0
2018,"на 100,000 населения",ընդամենը,0.6
2018,случаи,ընդամենը,19.0
2019,"на 100,000 населения",ընդամենը,1.0
2019,случаи,ընդամենը,30.0
2020,"на 100,000 населения",ընդամենը,0.3
2020,случаи,ընդամենը,10.0
2021,"на 100,000 населения",ընդամենը,0.7
2021,случаи,ընդամենը,20.0
2015,"на 100,000 населения",տղամարդ,0.3
2015,случаи,տղամարդ,5.0
2015,"на 100,000 населения",կին,0.2
2015,случаи,կին,3.0
2016,случаи,տղամարդ,4.0
2016,"на 100,000 населения",տղամարդ,0.3
2016,случаи,կին,3.0
2016,"на 100,000 населения",կին,0.2
2017,случаи,տղամարդ,6.0
2017,"на 100,000 населения",տղամարդ,0.4
2017,случаи,կին,4.0
2017,"на 100,000 населения",կին,0.3
2018,случаи,տղամարդ,15.0
2018,"на 100,000 населения",տղամարդ,1.1
2018,случаи,կին,4.0
2018,"на 100,000 населения",կին,0.3
2019,случаи,տղամարդ,19.0
2019,"на 100,000 населения",տղամարդ,1.4
2019,случаи,կին,11.0
2019,"на 100,000 населения",կին,0.7
2020,случаи,տղամարդ,8.0
2020,"на 100,000 населения",տղամարդ,0.6
2020,случаи,կին,2.0
2020,"на 100,000 населения",կին,0.1
2021,случаи,տղամարդ,12.0
2021,"на 100,000 населения",տղամարդ,0.9
2021,случаи,կին,8.0
2021,"на 100,000 населения",կին,0.5
