Year,Units,Категория,Возраст,Пол,Место нахождения,Value
2015,%,,,,,18.5
2016,%,,,,,18.0
2017,%,,,,,17.8
2018,%,,,,,19.0
2019,%,,,,,18.3
2020,%,,,,,18.2
2018,%,,15-29,,,26.7
2015,%,,,мужчина,,17.6
2016,%,,,мужчина,,18.1
2017,%,,,мужчина,,18.0
2018,%,,,мужчина,,17.9
2019,%,,,мужчина,,17.5
2020,%,,,мужчина,,19.1
2018,%,,30-44,,,19.5
2015,%,,,женщина,,19.5
2016,%,,,женщина,,17.8
2017,%,,,женщина,,17.5
2018,%,,,женщина,,20.4
2019,%,,,женщина,,19.3
2020,%,,,женщина,,17.2
2018,%,,45-59,,,14.9
2015,%,,,,город,27.0
2016,%,,,,город,26.8
2017,%,,,,город,25.4
2018,%,,,,город,24.9
2019,%,,,,город,22.6
2020,%,,,,город,22.3
2018,%,,60-74,,,12.9
2015,%,,,,село,6.7
2016,%,,,,село,5.7
2017,%,,,,село,7.4
2018,%,,,,село,11.3
2019,%,,,,село,11.4
2020,%,,,,село,12.1
2021,%,имеющие инвалидность,,,,15.4
2015,%,,15-24,,,32.5
2016,%,,15-24,,,36.6
2017,%,,15-24,,,38.4
2018,%,,15-24,,,33.5
2019,%,,15-24,,,32.6
2020,%,,15-24,,,32.3
2019,%,,15-29,,,25.7
2019,%,,30-44,,,18.1
2020,%,,15-29,,,26.5
2019,%,,45-59,,,15.6
2019,%,,60-74,,,12.5
2020,%,,30-44,,,19.2
2020,%,,15-64,,,18.6
2019,%,,15-64,,,18.6
2020,%,,45-59,,,14.8
2018,%,,15-64,,,19.3
2021,%,,,,,15.5
2020,%,,60-74,,,12.0
2015,%,имеющие инвалидность,,,,15.7
2016,%,имеющие инвалидность,,,,18.9
2017,%,имеющие инвалидность,,,,14.1
2018,%,имеющие инвалидность,,,,20.6
2019,%,имеющие инвалидность,,,,17.7
2020,%,имеющие инвалидность,,,,13.7
2021,%,,15-24,,,30.5
2021,%,,15-29,,,24.4
2021,%,,30-44,,,15.0
2021,%,,45-59,,,14.1
2021,%,,60-74,,,8.6
2021,%,,15-64,,,15.9
2021,%,,,мужчина,,15.7
2021,%,,,женщина,,15.2
2021,%,,,,город,20.3
2021,%,,,,село,8.8
2022,%,,,,,13.5
2022,%,,,мужчина,,13.2
2022,%,,,женщина,,13.8
2022,%,,,,город,17.0
2022,%,,,,село,8.0
2022,%,имеющие инвалидность,,,,15.9
2022,%,,15-24,,,27.1
2022,%,,15-29,,,20.6
2022,%,,30-44,,,13.2
2022,%,,45-59,,,12.1
2022,%,,60-74,,,8.8
2022,%,,15-64,,,13.8
2023,%,,,,,12.4
2023,%,,,мужчина,,11.8
2023,%,,,женщина,,13.2
2023,%,,,,город,15.1
2023,%,,,,село,8.0
2023,%,,15-24,,,27.2
2023,%,,15-29,,,21.3
2023,%,,30-44,,,11.5
2023,%,,45-59,,,9.9
2023,%,,60-74,,,9.1
2023,%,,15-64,,,12.8
2023,%,имеющие инвалидность,,,,9.6
