Year,Units,Category,Age,Sex,Location,Value
2015,%,,,,,18.5
2016,%,,,,,18.0
2017,%,,,,,17.8
2018,%,,,,,19.0
2019,%,,,,,18.3
2020,%,,,,,18.2
2018,%,,15-29,,,26.7
2015,%,,,male,,17.6
2016,%,,,male,,18.1
2017,%,,,male,,18.0
2018,%,,,male,,17.9
2019,%,,,male,,17.5
2020,%,,,male,,19.1
2018,%,,30-44,,,19.5
2015,%,,,female,,19.5
2016,%,,,female,,17.8
2017,%,,,female,,17.5
2018,%,,,female,,20.4
2019,%,,,female,,19.3
2020,%,,,female,,17.2
2018,%,,45-59,,,14.9
2015,%,,,,urban,27.0
2016,%,,,,urban,26.8
2017,%,,,,urban,25.4
2018,%,,,,urban,24.9
2019,%,,,,urban,22.6
2020,%,,,,urban,22.3
2018,%,,60-74,,,12.9
2015,%,,,,rural,6.7
2016,%,,,,rural,5.7
2017,%,,,,rural,7.4
2018,%,,,,rural,11.3
2019,%,,,,rural,11.4
2020,%,,,,rural,12.1
2021,%,with disabilities,,,,15.4
2015,%,,15-24,,,32.5
2016,%,,15-24,,,36.6
2017,%,,15-24,,,38.4
2018,%,,15-24,,,33.5
2019,%,,15-24,,,32.6
2020,%,,15-24,,,32.3
2019,%,,15-29,,,25.7
2019,%,,30-44,,,18.1
2020,%,,15-29,,,26.5
2019,%,,45-59,,,15.6
2019,%,,60-74,,,12.5
2020,%,,30-44,,,19.2
2020,%,,15-64,,,18.6
2019,%,,15-64,,,18.6
2020,%,,45-59,,,14.8
2018,%,,15-64,,,19.3
2021,%,,,,,15.5
2020,%,,60-74,,,12.0
2015,%,with disabilities,,,,15.7
2016,%,with disabilities,,,,18.9
2017,%,with disabilities,,,,14.1
2018,%,with disabilities,,,,20.6
2019,%,with disabilities,,,,17.7
2020,%,with disabilities,,,,13.7
2021,%,,15-24,,,30.5
2021,%,,15-29,,,24.4
2021,%,,30-44,,,15.0
2021,%,,45-59,,,14.1
2021,%,,60-74,,,8.6
2021,%,,15-64,,,15.9
2021,%,,,male,,15.7
2021,%,,,female,,15.2
2021,%,,,,urban,20.3
2021,%,,,,rural,8.8
2022,%,,,,,13.5
2022,%,,,male,,13.2
2022,%,,,female,,13.8
2022,%,,,,urban,17.0
2022,%,,,,rural,8.0
2022,%,with disabilities,,,,15.9
2022,%,,15-24,,,27.1
2022,%,,15-29,,,20.6
2022,%,,30-44,,,13.2
2022,%,,45-59,,,12.1
2022,%,,60-74,,,8.8
2022,%,,15-64,,,13.8
2023,%,,,,,12.4
2023,%,,,male,,11.8
2023,%,,,female,,13.2
2023,%,,,,urban,15.1
2023,%,,,,rural,8.0
2023,%,,15-24,,,27.2
2023,%,,15-29,,,21.3
2023,%,,30-44,,,11.5
2023,%,,45-59,,,9.9
2023,%,,60-74,,,9.1
2023,%,,15-64,,,12.8
2023,%,with disabilities,,,,9.6
2024,%,,,,,13.4
