Year,Units,Indicators,Место нахождения,Пол,Категория,Value
2015,%,Proportion of households with ownership over agricultural land,,,,39.7
2015,%,Proportion of households with ownership over agricultural land,город,,,13.0
2015,%,Proportion of households with ownership over agricultural land,село,,,84.2
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,женщина,75.2,
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,женщина,в одиночестве,1.6
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,женщина,совместно с кем-то еще,13.1
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,женщина,в одиночестве и совместно с кем-то еще,1.0
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,мужчина,85.7,
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,мужчина,в одиночестве,7.7
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,мужчина,совместно с кем-то еще,26.6
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,мужчина,в одиночестве и совместно с кем-то еще,0.5
