Year,Units,Տեսակ,Տարիք,Սեռ,Տարածք,Value
2015,%,ընդամենը,15-29 տարեկան,,,34.5
2016,%,ընդամենը,15-29 տարեկան,,,34.6
2017,%,ընդամենը,15-29 տարեկան,,,34.6
2018,%,ընդամենը,15-29 տարեկան,,,32.7
2019,%,ընդամենը,15-29 տարեկան,,,31.0
2020,%,ընդամենը,15-29 տարեկան,,,31.0
2015,%,,15-29 տարեկան,արական,,23.5
2016,%,,15-29 տարեկան,արական,,22.7
2017,%,,15-29 տարեկան,արական,,23.4
2018,%,,15-29 տարեկան,արական,,21.2
2019,%,,15-29 տարեկան,արական,,20.8
2020,%,,15-29 տարեկան,արական,,22.6
2015,%,,15-29 տարեկան,իգական,,44.6
2016,%,,15-29 տարեկան,իգական,,46.5
2017,%,,15-29 տարեկան,իգական,,45.9
2018,%,,15-29 տարեկան,իգական,,44.0
2019,%,,15-29 տարեկան,իգական,,41.6
2020,%,,15-29 տարեկան,իգական,,39.9
2015,%,,15-29 տարեկան,,քաղաք,36.1
2016,%,,15-29 տարեկան,,քաղաք,35.7
2017,%,,15-29 տարեկան,,քաղաք,35.9
2018,%,,15-29 տարեկան,,քաղաք,30.8
2019,%,,15-29 տարեկան,,քաղաք,30.2
2020,%,,15-29 տարեկան,,քաղաք,28.0
2015,%,,15-29 տարեկան,,գյուղ,32.2
2016,%,,15-29 տարեկան,,գյուղ,32.9
2017,%,,15-29 տարեկան,,գյուղ,32.7
2018,%,,15-29 տարեկան,,գյուղ,34.9
2019,%,,15-29 տարեկան,,գյուղ,32.2
2020,%,,15-29 տարեկան,,գյուղ,34.9
2015,%,ընդամենը,15-19 տարեկան,,,13.1
2016,%,ընդամենը,15-19 տարեկան,,,14.2
2017,%,ընդամենը,15-19 տարեկան,,,15.6
2018,%,ընդամենը,15-19 տարեկան,,,11.3
2019,%,ընդամենը,15-19 տարեկան,,,8.6
2020,%,ընդամենը,15-19 տարեկան,,,9.5
2015,%,,15-19 տարեկան,արական,,9.8
2016,%,,15-19 տարեկան,արական,,11.3
2017,%,,15-19 տարեկան,արական,,12.0
2018,%,,15-19 տարեկան,արական,,7.3
2019,%,,15-19 տարեկան,արական,,5.4
2020,%,,15-19 տարեկան,արական,,6.8
2015,%,,15-19 տարեկան,իգական,,16.6
2016,%,,15-19 տարեկան,իգական,,17.7
2017,%,,15-19 տարեկան,իգական,,20.2
2018,%,,15-19 տարեկան,իգական,,14.9
2019,%,,15-19 տարեկան,իգական,,12.3
2020,%,,15-19 տարեկան,իգական,,12.4
2015,%,,15-19 տարեկան,,քաղաք,14.0
2016,%,,15-19 տարեկան,,քաղաք,13.4
2017,%,,15-19 տարեկան,,քաղաք,14.8
2018,%,,15-19 տարեկան,,քաղաք,9.5
2019,%,,15-19 տարեկան,,քաղաք,6.7
2020,%,,15-19 տարեկան,,քաղաք,10.2
2015,%,,15-19 տարեկան,,գյուղ,12.0
