Year,Indicator,Units,Value
2015,Number of patients with leishmaniasis,person,18.0
2016,Number of patients with leishmaniasis,person,18.0
2017,Number of patients with leishmaniasis,person,17.0
2018,Number of patients with leishmaniasis,person,17.0
2019,Number of patients with leishmaniasis,person,17.0
2020,Number of patients with leishmaniasis,person,16.0
2021,Number of patients with leishmaniasis,person,11.0
2022,Number of patients with leishmaniasis,person,14.0
2023,Number of patients with leishmaniasis,person,30.0
2015,Case of death from leishmaniosis,case,0.0
