Year,Units,education type,Value
2015,%,primary,1.0
2016,%,primary,1.0
2017,%,primary,1.0
2018,%,primary,1.01
2019,%,primary,1.01
2020,%,primary,1.01
2015,%,Basic,1.01
2016,%,Basic,1.01
2017,%,Basic,1.01
2018,%,Basic,1.01
2019,%,Basic,1.01
2020,%,Basic,1.01
2015,%,high,1.2
2016,%,high,1.21
2017,%,high,1.17
2018,%,high,1.2
2019,%,high,1.19
2020,%,high,1.2
2015,%,secondary,1.04
2016,%,secondary,1.03
2017,%,secondary,1.03
2018,%,secondary,1.04
2019,%,secondary,1.04
2020,%,secondary,1.04
2015,%,preliminary vocational,0.43
2016,%,preliminary vocational,0.45
2017,%,preliminary vocational,0.48
2018,%,preliminary vocational,0.42
2019,%,preliminary vocational,0.37
2020,%,preliminary vocational,0.35
2015,%,middle vocational,1.31
2016,%,middle vocational,1.29
2017,%,middle vocational,1.31
2018,%,middle vocational,1.26
2019,%,middle vocational,1.24
2020,%,middle vocational,1.18
2015,%,bachelor,1.26
2016,%,bachelor,1.24
2017,%,bachelor,1.2
2018,%,bachelor,1.17
2019,%,bachelor,1.27
2020,%,bachelor,1.27
2015,%,master,1.57
2016,%,master,1.44
2017,%,master,1.98
2018,%,master,2.19
2019,%,master,2.24
2020,%,master,2.36
2021,%,primary,1.01
2021,%,Basic,1.01
2021,%,high,1.21
2021,%,secondary,1.04
2021,%,preliminary vocational,0.38
2021,%,middle vocational,1.17
2021,%,bachelor,1.35
2021,%,master,2.21
2022,%,primary,1.01
2022,%,Basic,1.01
2022,%,high,1.22
2022,%,secondary,1.04
2022,%,preliminary vocational,0.34
2022,%,middle vocational,1.19
2022,%,bachelor,1.46
2022,%,master,1.95
2023,%,primary,1.02
2023,%,Basic,1.01
2023,%,high,1.17
2023,%,secondary,1.04
2023,%,preliminary vocational,0.33
2023,%,middle vocational,1.14
2023,%,bachelor,1.35
2023,%,master,2.06
2024,%,primary,1.03
2024,%,Basic,1.01
2024,%,high,1.16
2024,%,secondary,1.04
2024,%,preliminary vocational,0.35
2024,%,middle vocational,1.2
2024,%,bachelor,1.36
2024,%,master,2.15
