Year,Units,Կատեգորիա,Սեռ,Value
2015,մարդ,երկու ծնող ունեցող երեխա,,36.0
2016,մարդ,երկու ծնող ունեցող երեխա,,28.0
2017,մարդ,երկու ծնող ունեցող երեխա,,14.0
2018,մարդ,երկու ծնող ունեցող երեխա,,13.0
2019,մարդ,երկու ծնող ունեցող երեխա,,6.0
2020,մարդ,երկու ծնող ունեցող երեխա,,10.0
2015,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,23.0
2016,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,19.0
2017,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,10.0
2018,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,7.0
2019,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,1.0
2020,մարդ,երկու ծնող ունեցող երեխա,տղամարդ,5.0
2015,մարդ,երկու ծնող ունեցող երեխա,կին,13.0
2016,մարդ,երկու ծնող ունեցող երեխա,կին,9.0
2017,մարդ,երկու ծնող ունեցող երեխա,կին,4.0
2018,մարդ,երկու ծնող ունեցող երեխա,կին,6.0
2019,մարդ,երկու ծնող ունեցող երեխա,կին,5.0
2020,մարդ,երկու ծնող ունեցող երեխա,կին,5.0
2015,մարդ,միայնակ մոր երեխա,,34.0
2016,մարդ,միայնակ մոր երեխա,,31.0
2017,մարդ,միայնակ մոր երեխա,,13.0
2018,մարդ,միայնակ մոր երեխա,,8.0
2019,մարդ,միայնակ մոր երեխա,,4.0
2020,մարդ,միայնակ մոր երեխա,,9.0
2015,մարդ,միայնակ մոր երեխա,տղամարդ,16.0
2016,մարդ,միայնակ մոր երեխա,տղամարդ,12.0
2017,մարդ,միայնակ մոր երեխա,տղամարդ,6.0
2018,մարդ,միայնակ մոր երեխա,տղամարդ,4.0
2019,մարդ,միայնակ մոր երեխա,տղամարդ,3.0
2020,մարդ,միայնակ մոր երեխա,տղամարդ,5.0
2015,մարդ,միայնակ մոր երեխա,կին,18.0
2016,մարդ,միայնակ մոր երեխա,կին,19.0
2017,մարդ,միայնակ մոր երեխա,կին,7.0
2018,մարդ,միայնակ մոր երեխա,կին,4.0
2019,մարդ,միայնակ մոր երեխա,կին,1.0
2020,մարդ,միայնակ մոր երեխա,կին,4.0
2015,մարդ,մնացել է առանց ծնողական խնամքի,,23.0
2016,մարդ,մնացել է առանց ծնողական խնամքի,,12.0
2017,մարդ,մնացել է առանց ծնողական խնամքի,,22.0
2018,մարդ,մնացել է առանց ծնողական խնամքի,,22.0
2019,մարդ,մնացել է առանց ծնողական խնամքի,,0.0
2020,մարդ,մնացել է առանց ծնողական խնամքի,,10.0
2015,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,10.0
2016,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,4.0
2017,մարդ,մնացել է առանց ծնողական խնամքի,տղամարդ,8.0
