Year,Units,Место нахождения,Пол,Бедность,Тип,Квинтили,Value
2015,"на 100,000 населения",,,,,,
2016,"на 100,000 населения",,,,,,
2019,%,,,,,,2.3
2019,%,город,,,,,2.5
2019,%,село,,,,,2.0
2019,%,,женщина,,,,2.3
2019,%,,мужчина,,,,2.2
2019,%,,,не бедный,,,1.7
2019,%,,,бедный,,,4.0
2019,%,,,крайне бедный,,,6.6
2019,%,,,,инвалиды,,3.1
2019,%,,,,,I-й квинтиль,4.4
2019,%,,,,,II-ой квинтиль,2.0
2019,%,,,,,III-й квинтиль,1.9
2019,%,,,,,IV-й квинтиль,1.9
2019,%,,,,,V-й квинтиль,1.3
2020,%,,,,,,1.5
2020,%,город,,,,,1.8
2020,%,село,,,,,1.2
2020,%,,женщина,,,,1.5
2020,%,,мужчина,,,,1.6
