Year,Units,Սեռ,Value
2015,"100,000 բնակչի հաշվով",Total,0.3
2016,"100,000 բնակչի հաշվով",Total,0.2
2017,"100,000 բնակչի հաշվով",Total,0.3
2015,դեպք,Total,8.0
2016,դեպք,Total,7.0
2017,դեպք,Total,10.0
2018,"100,000 բնակչի հաշվով",Total,0.6
2018,դեպք,Total,19.0
2019,"100,000 բնակչի հաշվով",Total,1.0
2019,դեպք,Total,30.0
2020,"100,000 բնակչի հաշվով",Total,0.3
2020,դեպք,Total,10.0
2021,"100,000 բնակչի հաշվով",Total,0.7
2021,դեպք,Total,20.0
2015,"100,000 բնակչի հաշվով",man,0.3
2015,դեպք,man,5.0
2015,"100,000 բնակչի հաշվով",woman,0.2
2015,դեպք,woman,3.0
2016,դեպք,man,4.0
2016,"100,000 բնակչի հաշվով",man,0.3
2016,դեպք,woman,3.0
2016,"100,000 բնակչի հաշվով",woman,0.2
2017,դեպք,man,6.0
2017,"100,000 բնակչի հաշվով",man,0.4
2017,դեպք,woman,4.0
2017,"100,000 բնակչի հաշվով",woman,0.3
2018,դեպք,man,15.0
2018,"100,000 բնակչի հաշվով",man,1.1
2018,դեպք,woman,4.0
2018,"100,000 բնակչի հաշվով",woman,0.3
2019,դեպք,man,19.0
2019,"100,000 բնակչի հաշվով",man,1.4
2019,դեպք,woman,11.0
2019,"100,000 բնակչի հաշվով",woman,0.7
2020,դեպք,man,8.0
2020,"100,000 բնակչի հաշվով",man,0.6
2020,դեպք,woman,2.0
2020,"100,000 բնակչի հաշվով",woman,0.1
2021,դեպք,man,12.0
2021,"100,000 բնակչի հաշվով",man,0.9
2021,դեպք,woman,8.0
2021,"100,000 բնակչի հաշվով",woman,0.5
