Year,Units,Sex,Value
2015,"per 100,000 population",,0.3
2016,"per 100,000 population",,0.2
2017,"per 100,000 population",,0.3
2015,case,,8.0
2016,case,,7.0
2017,case,,10.0
2018,"per 100,000 population",,0.6
2018,case,,19.0
2019,"per 100,000 population",,1.0
2019,case,,30.0
2020,"per 100,000 population",,0.3
2020,case,,10.0
2021,"per 100,000 population",,0.7
2021,case,,20.0
2015,"per 100,000 population",male,0.3
2015,case,male,5.0
2015,"per 100,000 population",female,0.2
2015,case,female,3.0
2016,case,male,4.0
2016,"per 100,000 population",male,0.3
2016,case,female,3.0
2016,"per 100,000 population",female,0.2
2017,case,male,6.0
2017,"per 100,000 population",male,0.4
2017,case,female,4.0
2017,"per 100,000 population",female,0.3
2018,case,male,15.0
2018,"per 100,000 population",male,1.1
2018,case,female,4.0
2018,"per 100,000 population",female,0.3
2019,case,male,19.0
2019,"per 100,000 population",male,1.4
2019,case,female,11.0
2019,"per 100,000 population",female,0.7
2020,case,male,8.0
2020,"per 100,000 population",male,0.6
2020,case,female,2.0
2020,"per 100,000 population",female,0.1
2021,case,male,12.0
2021,"per 100,000 population",male,0.9
2021,case,female,8.0
2021,"per 100,000 population",female,0.5
2022,case,,17.0
2022,"per 100,000 population",,0.6
2022,case,male,8.0
2022,"per 100,000 population",male,0.6
2022,case,female,9.0
2022,"per 100,000 population",female,0.6
2023,case,,15.0
2023,"per 100,000 population",,0.5
2023,case,male,10.0
2023,"per 100,000 population",male,0.7
2023,case,female,5.0
2023,"per 100,000 population",female,0.3
2024,case,,19.0
2024,"per 100,000 population",,0.6
2024,case,male,12.0
2024,"per 100,000 population",male,0.8
2024,case,female,7.0
2024,"per 100,000 population",female,0.4
