Value,Disaggregation combinations using this value,Number of indicators
17.6,1,1
21.5,1,1
22.8,1,1
23.7,1,1
49.2,1,1
52.3,1,1
53.1,1,1
53.8,1,1
54.9,1,1
56.3,1,1
57.1,1,1
61.1,1,1
61.4,1,1
61.5,1,1
62.3,1,1
63.6,1,1
70.8,2,1
71.9,1,1
72.1,1,1
72.3,1,1
73.5,1,1
73.7,1,1
74.2,1,1
74.4,1,1
75.8,1,1
75.9,1,1
76.4,1,1
76.5,2,1
76.6,1,1
78.1,1,1
78.2,1,1
78.7,1,1
79.0,1,1
79.8,1,1
80.6,1,1
81.2,1,1
82.2,1,1
82.3,1,1
82.8,1,1
83.0,1,1
85.1,1,1
85.8,1,1
86.1,1,1
87.1,1,1
87.3,1,1
88.9,1,1
89.1,1,1
89.6,1,1
90.2,1,1
90.5,2,1
94.0,1,1
94.6,1,1
95.0,1,1
96.3,1,1
96.4,1,1
96.7,1,1
97.3,1,1
97.5,2,1
97.7,2,1
97.9,1,1
98.0,1,1
98.4,1,1
98.6,1,1
98.7,1,1
98.8,1,1
98.9,1,1
99.0,2,1
boy,5,4
female,115,36
Female,5,1
girl,5,4
male,115,36
Male,5,1
Total,5,1
