Year,Units,Կատեգորիա,Սեռ,Տարիք,Value
2015,%,,,,59.1
2015,%,,տղամարդ,,60.8
2015,%,,կին,,57.8
2015,%,,,0-5 տարեկան,24.6
2015,%,,,5-14 տարեկան,62.2
2015,%,,,15-24 տարեկան,78.3
2015,%,,,25+,58.6
2016,%,,,,64.3
2016,%,,տղամարդ,,65.5
2016,%,,կին,,63.4
2016,%,,,0-5 տարեկան,25.0
2016,%,,,5-14 տարեկան,68.4
2016,%,,,15-24 տարեկան,81.9
2016,%,,,25+,64.2
2017,%,,,,64.7
2017,%,,տղամարդ,,66.3
2017,%,,կին,,63.4
2017,%,,,0-5 տարեկան,21.7
2017,%,,,5-14 տարեկան,69.5
2017,%,,,15-24 տարեկան,94.2
2017,%,,,25+,88.2
2018,%,,,,68.2
2018,%,,տղամարդ,,69.9
2018,%,,կին,,66.9
2018,%,,,0-5 տարեկան,26.4
2018,%,,,5-14 տարեկան,70.7
2018,%,,,15-24 տարեկան,95.0
2018,%,,,25+,92.0
2019,%,,,,66.5
2019,%,,տղամարդ,,65.8
2019,%,,կին,,67.2
2019,%,,,0-5 տարեկան,25.6
2019,%,,,5-14 տարեկան,73.3
2019,%,,,15-24 տարեկան,83.0
2019,%,,,25+,66.1
2020,%,,,,76.5
2020,%,,տղամարդ,,74.9
2020,%,,կին,,78.1
2020,%,,,0-5 տարեկան,24.6
2020,%,,,5-14 տարեկան,85.2
2020,%,,,15-24 տարեկան,87.2
2020,%,,,25+,77.2
2021,%,,,,62.6
2021,%,,տղամարդ,,61.1
2021,%,,կին,,64.0
2021,%,,,0-5 տարեկան,20.6
2021,%,,,5-14 տարեկան,70.7
2021,%,,,15-24 տարեկան,70.6
2021,%,,,25+,63.0
2022,%,,,,77.0
2022,%,,տղամարդ,,74.4
2022,%,,կին,,79.3
2022,%,,,0-5 տարեկան,25.9
2022,%,,,5-14 տարեկան,82.0
2022,%,,,15-24 տարեկան,85.5
2022,%,,,25+,79.0
2023,%,,,,80.0
2023,%,,տղամարդ,,77.9
2023,%,,կին,,81.9
2023,%,,,0-5 տարեկան,26.9
2023,%,,,5-14 տարեկան,84.4
2023,%,,,15-24 տարեկան,88.8
2023,%,,,25+,82.2
2024,%,,,,83.4
2024,%,,տղամարդ,,81.6
2024,%,,կին,,85.0
2024,%,,,0-5 տարեկան,28.7
2024,%,,,5-14 տարեկան,84.5
2024,%,,,15-24 տարեկան,90.6
2024,%,,,25+,86.6
