Year,Units,Տարիք,Գտնվելու վայրը,Value
2015,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.03
2015,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.04
2015,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.0
2015,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,24.3
2015,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,18.5
2015,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,32.6
2016,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.05
2016,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.04
2016,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.06
2016,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,24.0
2016,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,18.1
2016,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,32.7
2017,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.02
2017,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.04
2017,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.0
2017,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,21.1
2017,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,14.4
2017,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,31.1
2018,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.05
2018,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.06
2018,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.03
2018,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,18.9
2018,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,13.5
2018,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,27.4
2019,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.03
2019,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.05
2019,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.0
2019,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,16.7
2019,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,11.9
2019,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,24.4
2020,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.0
2020,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.0
2020,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.0
2020,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,13.9
2020,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,11.1
2020,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,18.5
2021,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.02
2021,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.03
2021,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.0
2021,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,12.7
2021,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,8.6
2021,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,19.6
2022,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.0
2022,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.0
2022,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.0
2022,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,11.4
2022,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,6.4
2022,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,19.8
2023,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.0
2023,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.0
2023,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.0
2023,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,10.6
2023,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,5.8
2023,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,18.8
2024,"1,000 կնոջ հաշվով",10-14 տարեկան,Total,0.0
2024,"1,000 կնոջ հաշվով",10-14 տարեկան,քաղաք,0.0
2024,"1,000 կնոջ հաշվով",10-14 տարեկան,գյուղ,0.0
2024,"1,000 կնոջ հաշվով",15-19 տարեկան,Total,9.1
2024,"1,000 կնոջ հաշվով",15-19 տարեկան,քաղաք,4.7
2024,"1,000 կնոջ հաշվով",15-19 տարեկան,գյուղ,16.8
