Year,Units,Սեռ,Կատեգորիա,Տարիք,Value
2015,%,,,,29.1
2016,%,,,,27.8
2017,%,,,,25.8
2018,%,,,,23.6
2020,%,,,,19.1
2021,%,,,,18.7
2015,%,տղամարդ,,,27.9
2016,%,տղամարդ,,,26.5
2017,%,տղամարդ,,,24.9
2018,%,տղամարդ,,,21.9
2020,%,տղամարդ,,,18.5
2021,%,տղամարդ,,,18.5
2015,%,կին,,,30.1
2016,%,կին,,,28.9
2017,%,կին,,,26.6
2018,%,կին,,,25.0
2020,%,կին,,,19.7
2021,%,կին,,,18.8
2015,%,,երեխաներ,,31.4
2016,%,,երեխաներ,,31.3
2017,%,,երեխաներ,,29.5
2018,%,,երեխաներ,,25.5
2020,%,,երեխաներ,,20.0
2021,%,,երեխաներ,,19.3
2015,%,,,0-5 տարեկան,26.3
2016,%,,,0-5 տարեկան,27.7
2017,%,,,0-5 տարեկան,25.7
2018,%,,,0-5 տարեկան,22.5
2020,%,,,0-5 տարեկան,16.5
2021,%,,,0-5 տարեկան,15.9
2015,%,,,6-17 տարեկան,34.2
2016,%,,,6-17 տարեկան,33.2
2017,%,,,6-17 տարեկան,31.3
2018,%,,,6-17 տարեկան,27.0
2020,%,,,6-17 տարեկան,21.6
2021,%,,,6-17 տարեկան,20.8
2015,%,,,18-64 տարեկան,27.0
2016,%,,,18-64 տարեկան,25.4
2017,%,,,18-64 տարեկան,23.6
2018,%,,,18-64 տարեկան,20.0
2020,%,,,18-64 տարեկան,15.7
2021,%,,,18-64 տարեկան,15.2
2015,%,,,65 և բարձր տարիքի,34.6
2016,%,,,65 և բարձր տարիքի,33.1
2017,%,,,65 և բարձր տարիքի,29.2
2018,%,,,65 և բարձր տարիքի,35.0
2020,%,,,65 և բարձր տարիքի,32.1
2021,%,,,65 և բարձր տարիքի,31.5
2022,%,,,,20.7
2022,%,տղամարդ,,,19.4
2022,%,կին,,,21.8
2022,%,,երեխաներ,,21.1
2022,%,,,0-5 տարեկան,17.7
2022,%,,,6-17 տարեկան,22.6
2022,%,,,18-64 տարեկան,17.6
2022,%,,,65 և բարձր տարիքի,30.5
2023,%,,,,17.3
2023,%,տղամարդ,,,16.2
2023,%,կին,,,18.3
2023,%,,երեխաներ,,17.5
2023,%,,,0-5 տարեկան,14.2
2023,%,,,6-17 տարեկան,19.0
2023,%,,,18-64 տարեկան,14.2
2023,%,,,65 և բարձր տարիքի,27.0
