Year,Units,Սեռ,Տարածք,Տարիք,Value
2015,%,,,,6.68
2016,%,,,,6.87
2017,%,,,,6.51
2018,%,,,,6.36
2019,%,,,,6.49
2020,%,,,,6.47
2015,%,արական,,,7.25
2016,%,արական,,,7.42
2017,%,արական,,,7.14
2018,%,արական,,,7.01
2019,%,արական,,,7.15
2020,%,արական,,,7.13
2015,%,իգական,,,6.16
2016,%,իգական,,,6.37
2017,%,իգական,,,5.94
2018,%,իգական,,,5.77
2019,%,իգական,,,5.89
2020,%,իգական,,,5.88
2015,%,,քաղաք,,7.15
2016,%,,քաղաք,,7.29
2017,%,,քաղաք,,6.92
2018,%,,քաղաք,,6.74
2019,%,,քաղաք,,6.83
2020,%,,քաղաք,,6.77
2015,%,արական,քաղաք,,7.68
2016,%,արական,քաղաք,,7.8
2017,%,արական,քաղաք,,7.5
2018,%,արական,քաղաք,,7.33
2019,%,արական,քաղաք,,7.42
2020,%,արական,քաղաք,,7.36
2015,%,իգական,քաղաք,,6.69
2016,%,իգական,քաղաք,,6.84
2017,%,իգական,քաղաք,,6.42
2018,%,իգական,քաղաք,,6.23
2019,%,իգական,քաղաք,,6.31
2020,%,իգական,քաղաք,,6.27
2015,%,,գյուղ,,5.85
2016,%,,գյուղ,,6.13
2017,%,,գյուղ,,5.77
2018,%,,գյուղ,,5.67
2019,%,,գյուղ,,5.89
2020,%,,գյուղ,,5.94
2015,%,արական,գյուղ,,6.54
2016,%,արական,գյուղ,,6.78
2017,%,արական,գյուղ,,6.55
2018,%,արական,գյուղ,,6.47
2019,%,արական,գյուղ,,6.7
2020,%,արական,գյուղ,,6.76
2015,%,իգական,գյուղ,,5.17
2016,%,իգական,գյուղ,,5.5
2017,%,իգական,գյուղ,,5.03
2018,%,իգական,գյուղ,,4.9
2019,%,իգական,գյուղ,,5.11
2020,%,իգական,գյուղ,,5.16
2015,%,,,0-17 տարեկան,1.13
2016,%,,,0-17 տարեկան,1.18
2017,%,,,0-17 տարեկան,1.18
2018,%,,,0-17 տարեկան,1.17
2019,%,,,0-17 տարեկան,1.23
2020,%,,,0-17 տարեկան,1.24
2015,%,արական,,0-17 տարեկան,1.46
2016,%,արական,,0-17 տարեկան,1.5
2017,%,արական,,0-17 տարեկան,1.52
2018,%,արական,,0-17 տարեկան,1.51
2019,%,արական,,0-17 տարեկան,1.58
2020,%,արական,,0-17 տարեկան,1.6
2015,%,իգական,,0-17 տարեկան,0.75
2016,%,իգական,,0-17 տարեկան,0.8
2017,%,իգական,,0-17 տարեկան,0.79
2018,%,իգական,,0-17 տարեկան,0.78
2019,%,իգական,,0-17 տարեկան,0.82
2020,%,իգական,,0-17 տարեկան,0.83
2015,%,,,18-39 տարեկան,2.48
2016,%,,,18-39 տարեկան,2.52
2017,%,,,18-39 տարեկան,2.4
2018,%,,,18-39 տարեկան,2.31
2019,%,,,18-39 տարեկան,2.36
2020,%,,,18-39 տարեկան,2.36
2015,%,արական,,18-39 տարեկան,3.47
2016,%,արական,,18-39 տարեկան,3.52
2017,%,արական,,18-39 տարեկան,3.39
2018,%,արական,,18-39 տարեկան,3.26
2019,%,արական,,18-39 տարեկան,3.3
2020,%,արական,,18-39 տարեկան,3.3
2015,%,իգական,,18-39 տարեկան,1.55
2016,%,իգական,,18-39 տարեկան,1.57
2017,%,իգական,,18-39 տարեկան,1.48
2018,%,իգական,,18-39 տարեկան,1.41
2019,%,իգական,,18-39 տարեկան,1.47
2020,%,իգական,,18-39 տարեկան,1.48
2015,%,,,40-62 տարեկան,11.61
2016,%,,,40-62 տարեկան,11.76
2017,%,,,40-62 տարեկան,10.39
2018,%,,,40-62 տարեկան,9.66
2019,%,,,40-62 տարեկան,9.6
2020,%,,,40-62 տարեկան,9.25
2015,%,արական,,40-62 տարեկան,12.58
2016,%,արական,,40-62 տարեկան,12.85
2017,%,արական,,40-62 տարեկան,11.85
2018,%,արական,,40-62 տարեկան,11.29
2019,%,արական,,40-62 տարեկան,11.36
2020,%,արական,,40-62 տարեկան,11.06
2015,%,իգական,,40-62 տարեկան,10.81
2016,%,իգական,,40-62 տարեկան,10.85
2017,%,իգական,,40-62 տարեկան,9.19
2018,%,իգական,,40-62 տարեկան,8.34
2019,%,իգական,,40-62 տարեկան,8.19
2020,%,իգական,,40-62 տարեկան,7.78
2015,%,,,63 և բարձր տարիքի,16.87
2016,%,,,63 և բարձր տարիքի,17.59
2017,%,,,63 և բարձր տարիքի,17.74
2018,%,,,63 և բարձր տարիքի,17.92
2019,%,,,63 և բարձր տարիքի,18.2
2020,%,,,63 և բարձր տարիքի,18.36
2015,%,արական,,63 և բարձր տարիքի,19.81
2016,%,արական,,63 և բարձր տարիքի,20.19
2017,%,արական,,63 և բարձր տարիքի,20.18
2018,%,արական,,63 և բարձր տարիքի,20.25
2019,%,արական,,63 և բարձր տարիքի,20.44
2020,%,արական,,63 և բարձր տարիքի,20.48
2015,%,իգական,,63 և բարձր տարիքի,14.9
2016,%,իգական,,63 և բարձր տարիքի,15.85
2017,%,իգական,,63 և բարձր տարիքի,16.12
2018,%,իգական,,63 և բարձր տարիքի,16.37
2019,%,իգական,,63 և բարձր տարիքի,16.71
2020,%,իգական,,63 և բարձր տարիքի,16.95
