Year,Ծառայություններ,Value
2015,ջրամատակարարում,83.0
2016,ջրամատակարարում,85.8
2017,ջրամատակարարում,85.8
2018,ջրամատակարարում,87.3
2019,ջրամատակարարում,89.6
2020,ջրամատակարարում,94.0
2015,կոյուղի,72.3
2016,կոյուղի,70.8
2017,կոյուղի,74.2
2018,կոյուղի,76.5
2019,կոյուղի,94.6
2020,կոյուղի,97.5
2015,աղբի հավաքում,78.2
2016,աղբի հավաքում,79.8
2017,աղբի հավաքում,76.4
2018,աղբի հավաքում,78.7
2019,աղբի հավաքում,82.3
2020,աղբի հավաքում,96.4
2015,հեռախոս ստացիոնար,61.1
2016,հեռախոս ստացիոնար,57.1
2017,հեռախոս ստացիոնար,53.1
2018,հեռախոս ստացիոնար,49.2
2019,հեռախոս ստացիոնար,96.7
2020,հեռախոս ստացիոնար,98.8
2015,էլեկտրաէներգիայի մատակարարում,97.9
2016,էլեկտրաէներգիայի մատակարարում,98.0
2017,էլեկտրաէներգիայի մատակարարում,98.4
2018,էլեկտրաէներգիայի մատակարարում,98.9
2019,էլեկտրաէներգիայի մատակարարում,97.7
2020,էլեկտրաէներգիայի մատակարարում,98.7
2015,փոստ,80.6
2016,փոստ,76.5
2017,փոստ,75.8
2018,փոստ,73.5
2019,փոստ,96.3
2020,փոստ,97.3
2015,բանկերի աշխատանք,74.4
2016,բանկերի աշխատանք,70.8
2017,բանկերի աշխատանք,71.9
2018,բանկերի աշխատանք,73.7
2019,բանկերի աշխատանք,86.1
2020,բանկերի աշխատանք,88.9
2015,ոռոգում,17.6
2016,ոռոգում,23.7
2017,ոռոգում,22.8
2018,ոռոգում,21.5
2019,ոռոգում,
2020,ոռոգում,
2015,առողջապահություն,61.5
2016,առողջապահություն,61.4
2017,առողջապահություն,63.6
2018,առողջապահություն,62.3
2019,առողջապահություն,78.1
2020,առողջապահություն,87.1
2015,կրթություն,52.3
2016,կրթություն,53.8
2017,կրթություն,56.3
2018,կրթություն,54.9
2019,կրթություն,85.1
2020,կրթություն,90.5
2015,հասարակական տրանսպորտ,81.2
2016,հասարակական տրանսպորտ,82.2
2017,հասարակական տրանսպորտ,76.6
2018,հասարակական տրանսպորտ,72.1
2019,հասարակական տրանսպորտ,75.9
2020,հասարակական տրանսպորտ,82.8
