Year,Units,Տարածք,Սեռ,Տարիք,Տեսակ,Value
2015,%,,,,,29.8
2016,%,,,,,29.4
2017,%,,,,,25.7
2018,%,,,,,23.5
2019,%,,,,,26.4
2020,%,,,,,27.0
2015,%,քաղաք,,,,29.4
2016,%,քաղաք,,,,28.8
2017,%,քաղաք,,,,25.0
2018,%,քաղաք,,,,24.9
2019,%,քաղաք,,,,22.2
2020,%,քաղաք,,,,22.5
2015,%,գյուղ,,,,30.4
2016,%,գյուղ,,,,30.4
2017,%,գյուղ,,,,26.8
2018,%,գյուղ,,,,21.3
2019,%,գյուղ,,,,33.2
2020,%,գյուղ,,,,33.6
2015,%,,իգական,,,30.1
2016,%,,իգական,,,30.2
2017,%,,իգական,,,26.3
2018,%,,իգական,,,23.6
2019,%,,իգական,,,26.0
2020,%,,իգական,,,26.3
2015,%,,իգական,0-5 տարեկան,,36.2
2016,%,,իգական,0-5 տարեկան,,35.1
2017,%,,իգական,0-5 տարեկան,,32.7
2018,%,,իգական,0-5 տարեկան,,29.8
2019,%,,իգական,0-5 տարեկան,,32.8
2020,%,,իգական,0-5 տարեկան,,34.2
2015,%,,իգական,6-17 տարեկան,,35.2
2016,%,,իգական,6-17 տարեկան,,36.4
2017,%,,իգական,6-17 տարեկան,,32.2
2018,%,,իգական,6-17 տարեկան,,28.0
2019,%,,իգական,6-17 տարեկան,,33.7
2020,%,,իգական,6-17 տարեկան,,34.4
2015,%,,իգական,18-64 տարեկան,,28.6
2016,%,,իգական,18-64 տարեկան,,28.3
2017,%,,իգական,18-64 տարեկան,,25.3
2018,%,,իգական,18-64 տարեկան,,22.6
2019,%,,իգական,18-64 տարեկան,,25.3
2020,%,,իգական,18-64 տարեկան,,25.4
2015,%,,իգական,65 և բարձր տարիքի,,28.9
2016,%,,իգական,65 և բարձր տարիքի,,29.8
2017,%,,իգական,65 և բարձր տարիքի,,23.2
2018,%,,իգական,65 և բարձր տարիքի,,21.3
2019,%,,իգական,65 և բարձր տարիքի,,20.6
2020,%,,իգական,65 և բարձր տարիքի,,20.9
2015,%,,արական,,,29.5
2016,%,,արական,,,28.5
2017,%,,արական,,,25.0
2018,%,,արական,,,23.4
2019,%,,արական,,,26.5
2020,%,,արական,,,27.9
2015,%,,արական,0-5 տարեկան,,32.9
2016,%,,արական,0-5 տարեկան,,32.0
2017,%,,արական,0-5 տարեկան,,30.9
2018,%,,արական,0-5 տարեկան,,33.2
2019,%,,արական,0-5 տարեկան,,36.4
2020,%,,արական,0-5 տարեկան,,33.9
2015,%,,արական,6-17 տարեկան,,31.8
2016,%,,արական,6-17 տարեկան,,32.5
2017,%,,արական,6-17 տարեկան,,28.7
2018,%,,արական,6-17 տարեկան,,28.2
2019,%,,արական,6-17 տարեկան,,32.4
2020,%,,արական,6-17 տարեկան,,33.4
2015,%,,արական,18-64 տարեկան,,28.4
2016,%,,արական,18-64 տարեկան,,26.7
2017,%,,արական,18-64 տարեկան,,23.7
2018,%,,արական,18-64 տարեկան,,21.1
2019,%,,արական,18-64 տարեկան,,24.7
2020,%,,արական,18-64 տարեկան,,26.3
2015,%,,արական,65 և բարձր տարիքի,,28.7
2016,%,,արական,65 և բարձր տարիքի,,27.8
2017,%,,արական,65 և բարձր տարիքի,,22.2
2018,%,,արական,65 և բարձր տարիքի,,20.9
2019,%,,արական,65 և բարձր տարիքի,,22.3
2020,%,,արական,65 և բարձր տարիքի,,24.4
2015,%,,,,հաշմանդամներ,31.7
2016,%,,,,հաշմանդամներ,29.0
2017,%,,,,հաշմանդամներ,25.9
2018,%,,,,հաշմանդամներ,22.9
2019,%,,,,հաշմանդամներ,27.2
2020,%,,,,հաշմանդամներ,27.2
