Year,Units,Կատեգորիա,Տարիք,Սեռ,Գտնվելու վայրը,Value
2015,%,ընդամենը,15-75 տարեկան,,,18.5
2016,%,ընդամենը,15-75 տարեկան,,,18.0
2017,%,ընդամենը,15-75 տարեկան,,,17.8
2018,%,ընդամենը,15-75 տարեկան,,,19.0
2019,%,ընդամենը,15-75 տարեկան,,,18.3
2020,%,ընդամենը,15-74 age,,,18.2
2020,%,ընդամենը,15+ age,,,18.1
2015,%,,15-75 տարեկան,տղամարդ,,17.6
2016,%,,15-75 տարեկան,տղամարդ,,18.1
2017,%,,15-75 տարեկան,տղամարդ,,18.0
2018,%,,15-75 տարեկան,տղամարդ,,17.9
2019,%,,15-75 տարեկան,տղամարդ,,17.5
2020,%,,15-74 age,տղամարդ,,19.1
2020,%,,15+ age,տղամարդ,,19.0
2015,%,,15-75 տարեկան,կին,,19.5
2016,%,,15-75 տարեկան,կին,,17.8
2017,%,,15-75 տարեկան,կին,,17.5
2018,%,,15-75 տարեկան,կին,,20.4
2019,%,,15-75 տարեկան,կին,,19.3
2020,%,,15-74 age,կին,,17.2
2020,%,,15+ age,կին,,17.1
2015,%,,15-75 տարեկան,,քաղաք,27.0
2016,%,,15-75 տարեկան,,քաղաք,26.8
2017,%,,15-75 տարեկան,,քաղաք,25.4
2018,%,,15-75 տարեկան,,քաղաք,24.9
2019,%,,15-75 տարեկան,,քաղաք,22.6
2020,%,,15-74 age,,քաղաք,22.3
2020,%,,15+ age,,քաղաք,22.2
2015,%,,15-75 տարեկան,,գյուղ,6.7
2016,%,,15-75 տարեկան,,գյուղ,5.7
2017,%,,15-75 տարեկան,,գյուղ,7.4
2018,%,,15-75 տարեկան,,գյուղ,11.3
2019,%,,15-75 տարեկան,,գյուղ,11.4
2020,%,,15-74 age,,գյուղ,12.1
2020,%,,15+ age,,գյուղ,12.0
2015,%,ընդամենը,15-24 տարեկան,,,32.5
2016,%,ընդամենը,15-24 տարեկան,,,36.6
2017,%,ընդամենը,15-24 տարեկան,,,38.4
2018,%,ընդամենը,15-24 տարեկան,,,33.5
2019,%,ընդամենը,15-24 տարեկան,,,32.6
2020,%,ընդամենը,15-24 տարեկան,,,32.3
2015,%,,15-24 տարեկան,տղամարդ,,28.6
2016,%,,15-24 տարեկան,տղամարդ,,29.8
2017,%,,15-24 տարեկան,տղամարդ,,33.1
2018,%,,15-24 տարեկան,տղամարդ,,29.0
2019,%,,15-24 տարեկան,տղամարդ,,31.2
2020,%,,15-24 տարեկան,տղամարդ,,31.6
2015,%,,15-24 տարեկան,կին,,37.2
2016,%,,15-24 տարեկան,կին,,46.0
2017,%,,15-24 տարեկան,կին,,45.0
2018,%,,15-24 տարեկան,կին,,39.0
2019,%,,15-24 տարեկան,կին,,34.4
2020,%,,15-24 տարեկան,կին,,33.3
2015,%,,15-24 տարեկան,,քաղաք,42.5
2016,%,,15-24 տարեկան,,քաղաք,50.1
2017,%,,15-24 տարեկան,,քաղաք,48.8
2018,%,,15-24 տարեկան,,քաղաք,42.3
2019,%,,15-24 տարեկան,,քաղաք,39.2
2020,%,,15-24 տարեկան,,քաղաք,35.4
2015,%,,15-24 տարեկան,,գյուղ,18.9
2016,%,,15-24 տարեկան,,գյուղ,19.5
2017,%,,15-24 տարեկան,,գյուղ,22.2
2018,%,,15-24 տարեկան,,գյուղ,23.2
2019,%,,15-24 տարեկան,,գյուղ,22.5
2020,%,,15-24 տարեկան,,գյուղ,27.8
2015,%,հաշմանդամություն ունեցող,15-75 տարեկան,,,15.7
2016,%,հաշմանդամություն ունեցող,15-75 տարեկան,,,18.9
2017,%,հաշմանդամություն ունեցող,15-75 տարեկան,,,14.1
2018,%,հաշմանդամություն ունեցող,15-75 տարեկան,,,17.7
2019,%,հաշմանդամություն ունեցող,15-75 տարեկան,,,17.7
2020,%,հաշմանդամություն ունեցող,15-75 տարեկան,,,13.7
2021,%,ընդամենը,15-24 տարեկան,,,30.5
2021,%,ընդամենը,15-29 տարեկան,,,24.4
2021,%,ընդամենը,30-44 age,,,15.0
2021,%,ընդամենը,45-59 age,,,14.1
2021,%,ընդամենը,60-74 age,,,8.6
2021,%,ընդամենը,15-64 age,,,15.9
2021,%,ընդամենը,15-74 age,տղամարդ,,15.7
2021,%,ընդամենը,15-74 age,կին,,15.2
2021,%,ընդամենը,15-74 age,,քաղաք,20.3
2021,%,ընդամենը,15-74 age,,գյուղ,8.8
2021,%,հաշմանդամություն ունեցող,15-74 age,,,15.4
2021,%,,15+ age,տղամարդ,,15.6
2021,%,,15+ age,կին,,15.2
2021,%,,15+ age,,քաղաք,20.2
2021,%,,15+ age,,գյուղ,8.7
