Year,Units,Пол,Категория,Value
2015,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),19.1
2015,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),6.8
2015,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),32.7
2015,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),86.4
2015,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),80.1
2015,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),93.2
2015,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),10.2
2015,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),11.3
2015,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),9.0
2015,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2015,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2015,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2015,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),15.6
2015,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),14.9
2015,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),16.3
2016,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),18.1
2016,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),5.9
2016,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),31.5
2016,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),91.9
2016,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),89.7
2016,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),94.4
2016,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),10.6
2016,"на 100,000 населения",женщина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),11.4
2016,"на 100,000 населения",мужчина,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),9.7
2016,"на 100,000 населения",всего,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2016,"на 100,000 населения",женщина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.1
2016,"на 100,000 населения",мужчина,Острые респираторные инфекции у детей младшего возраста (младше 5 лет),0.0
2016,"на 100,000 населения",всего,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),14.0
2016,"на 100,000 населения",женщина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),12.8
2016,"на 100,000 населения",мужчина,Хроническая обструктивная болезнь легких (ХОБЛ) у взрослых (старше 25 лет),15.3
2017,"на 100,000 населения",всего,Злокачественные новообразования легких (старше 25 лет),17.5
2017,"на 100,000 населения",женщина,Злокачественные новообразования легких (старше 25 лет),6.9
2017,"на 100,000 населения",мужчина,Злокачественные новообразования легких (старше 25 лет),29.1
2017,"на 100,000 населения",всего,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),84.5
2017,"на 100,000 населения",женщина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),79.0
2017,"на 100,000 населения",мужчина,Ишемическая болезнь сердца (ИБС) у взрослых (старше 25 лет),90.5
2017,"на 100,000 населения",всего,Цереброваскулярные заболевания (инсульт) у взрослых (старше 25 лет),9.2
