Year,Units,Sex,Category,Value
2015,per 100000 population,total,Lung cancer in adults (estimated above 25 years),19.1
2015,per 100000 population,female,Lung cancer in adults (estimated above 25 years),6.8
2015,per 100000 population,male,Lung cancer in adults (estimated above 25 years),32.7
2015,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),86.4
2015,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),80.1
2015,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),93.2
2015,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),10.2
2015,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),11.3
2015,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),9.0
2015,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2015,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2015,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2015,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),15.6
2015,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),14.9
2015,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),16.3
2016,per 100000 population,total,Lung cancer in adults (estimated above 25 years),18.1
2016,per 100000 population,female,Lung cancer in adults (estimated above 25 years),5.9
2016,per 100000 population,male,Lung cancer in adults (estimated above 25 years),31.5
2016,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),91.9
2016,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),89.7
2016,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),94.4
2016,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),10.6
2016,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),11.4
2016,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),9.7
2016,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2016,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2016,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2016,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),14.0
2016,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),12.8
2016,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),15.3
2017,per 100000 population,total,Lung cancer in adults (estimated above 25 years),17.5
2017,per 100000 population,female,Lung cancer in adults (estimated above 25 years),6.9
2017,per 100000 population,male,Lung cancer in adults (estimated above 25 years),29.1
2017,per 100000 population,total,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),84.5
2017,per 100000 population,female,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),79.0
2017,per 100000 population,male,Ischaemic heart diseases (IHD) in adults (estimated above 25 years),90.5
2017,per 100000 population,total,Cerebrovascular (stroke) in adults (estimated above 25 years),9.2
2017,per 100000 population,female,Cerebrovascular (stroke) in adults (estimated above 25 years),9.8
2017,per 100000 population,male,Cerebrovascular (stroke) in adults (estimated above 25 years),8.6
2017,per 100000 population,total,Acute  respiratory infections in young children  (estimated under 5 years of age),0.1
2017,per 100000 population,female,Acute  respiratory infections in young children  (estimated under 5 years of age),0.0
2017,per 100000 population,male,Acute  respiratory infections in young children  (estimated under 5 years of age),0.2
2017,per 100000 population,total,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),7.9
2017,per 100000 population,female,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),6.5
2017,per 100000 population,male,Chronic obstructive pulmonary disease (COPD) in adults (estimated above 25 years),9.4
2018,per 100000 population,total,Lung cancer in adults (estimated above 25 years),15.9
2018,per 100000 population,female,Lung cancer in adults (estimated above 25 years),5.8
