Year,Units,Սեռ,Գտնվելու վայրը,Տարիք,Զբաղվածության կարգավիճակ,Տեսակ,Value
2015,%,,,,,,1.3
2016,%,,,,,,1.2
2017,%,,,,,,0.9
2018,%,,,,,,1.4
2019,%,,,,,,1.1
2020,%,,,,,,0.4
2021,%,,,,,,0.5
2015,%,տղամարդ,,,,,1.3
2016,%,տղամարդ,,,,,1.2
2017,%,տղամարդ,,,,,0.8
2018,%,տղամարդ,,,,,1.4
2019,%,տղամարդ,,,,,1.1
2020,%,տղամարդ,,,,,0.4
2021,%,տղամարդ,,,,,0.6
2015,%,կին,,,,,0.4
2016,%,կին,,,,,1.2
2017,%,կին,,,,,0.9
2018,%,կին,,,,,1.4
2019,%,կին,,,,,1.1
2020,%,կին,,,,,0.4
2021,%,կին,,,,,0.6
2015,%,,քաղաք,,,,1.4
2016,%,,քաղաք,,,,1.0
2017,%,,քաղաք,,,,0.5
2018,%,,քաղաք,,,,1.2
2019,%,,քաղաք,,,,0.8
2020,%,,քաղաք,,,,0.3
2021,%,,քաղաք,,,,0.5
2015,%,,գյուղ,,,,1.0
2016,%,,գյուղ,,,,1.5
2017,%,,գյուղ,,,,1.3
2018,%,,գյուղ,,,,1.7
2019,%,,գյուղ,,,,1.6
2020,%,,գյուղ,,,,0.5
2021,%,,գյուղ,,,,0.7
2015,%,,,0-17 տարեկան,,,1.9
2016,%,,,0-17 տարեկան,,,1.2
2017,%,,,0-17 տարեկան,,,1.1
2018,%,,,0-17 տարեկան,,,1.8
2019,%,,,0-17 տարեկան,,,1.7
2020,%,,,0-17 տարեկան,,,0.5
2021,%,,,0-17 տարեկան,,,1.0
2015,%,,,18-66 տարեկան,,,1.1
2016,%,,,18-66 տարեկան,,,1.1
2017,%,,,18-66 տարեկան,,,0.8
2018,%,,,18-66 տարեկան,,,1.3
2019,%,,,18-66 տարեկան,,,1.0
2020,%,,,18-66 տարեկան,,,0.4
2021,%,,,18-66 տարեկան,,,0.5
2015,%,,,,տնտեսապես ակտիվ բնակչություն,,0.6
2016,%,,,,տնտեսապես ակտիվ բնակչություն,,0.6
2017,%,,,,տնտեսապես ակտիվ բնակչություն,,0.5
2018,%,,,,տնտեսապես ակտիվ բնակչություն,,0.7
2019,%,,,,տնտեսապես ակտիվ բնակչություն,,0.6
2020,%,,,,տնտեսապես ակտիվ բնակչություն,,0.2
2021,%,,,,տնտեսապես ակտիվ բնակչություն,,0.3
2015,%,,,,զբաղվածներ,,0.5
2016,%,,,,զբաղվածներ,,0.4
2017,%,,,,զբաղվածներ,,0.3
2018,%,,,,զբաղվածներ,,0.5
2019,%,,,,զբաղվածներ,,0.5
2020,%,,,,զբաղվածներ,,0.2
2021,%,,,,զբաղվածներ,,0.3
2015,%,,,,վարձու աշխատողներ,,0.4
2016,%,,,,վարձու աշխատողներ,,0.3
2017,%,,,,վարձու աշխատողներ,,0.1
2018,%,,,,վարձու աշխատողներ,,0.3
2019,%,,,,վարձու աշխատողներ,,0.3
2020,%,,,,վարձու աշխատողներ,,0.2
2021,%,,,,վարձու աշխատողներ,,0.3
2015,%,,,,ինքնազբաղված,,1.0
2016,%,,,,ինքնազբաղված,,0.7
2017,%,,,,ինքնազբաղված,,0.6
2018,%,,,,ինքնազբաղված,,0.9
2019,%,,,,ինքնազբաղված,,0.7
2020,%,,,,ինքնազբաղված,,0.2
2021,%,,,,ինքնազբաղված,,0.5
2015,%,,,,այլ զբաղվածներ,,0.1
2016,%,,,,այլ զբաղվածներ,,0.2
2017,%,,,,այլ զբաղվածներ,,0.5
2018,%,,,,այլ զբաղվածներ,,0.5
2019,%,,,,այլ զբաղվածներ,,1.1
2015,%,,,,գործազուրկներ,,0.8
2016,%,,,,գործազուրկներ,,1.8
2017,%,,,,գործազուրկներ,,1.3
2018,%,,,,գործազուրկներ,,2.1
2019,%,,,,գործազուրկներ,,2.2
2020,%,,,,գործազուրկներ,,0.5
2021,%,,,,գործազուրկներ,,0.4
2015,%,,,,տնտեսապես ոչ ակտիվ բնակչություն,,1.2
2016,%,,,,տնտեսապես ոչ ակտիվ բնակչություն,,0.8
2017,%,,,,տնտեսապես ոչ ակտիվ բնակչություն,,0.5
2018,%,,,,տնտեսապես ոչ ակտիվ բնակչություն,,0.8
2019,%,,,,տնտեսապես ոչ ակտիվ բնակչություն,,0.7
2020,%,,,,տնտեսապես ոչ ակտիվ բնակչություն,,0.4
2021,%,,,,տնտեսապես ոչ ակտիվ բնակչություն,,0.3
2015,%,,,,թոշակառուներ,,1.1
2016,%,,,,թոշակառուներ,,0.4
2017,%,,,,թոշակառուներ,,0.5
2018,%,,,,թոշակառուներ,,1.0
2019,%,,,,թոշակառուներ,,0.3
2020,%,,,,թոշակառուներ,,0.3
2021,%,,,,թոշակառուներ,,0.4
2015,%,,,,ուսանողներ,,0.7
2016,%,,,,ուսանողներ,,0.2
2017,%,,,,ուսանողներ,,0.4
2018,%,,,,ուսանողներ,,0.6
2019,%,,,,ուսանողներ,,0.4
2020,%,,,,ուսանողներ,,0.6
2021,%,,,,ուսանողներ,,0.8
2015,%,,,,այլ ոչ ակտիվ բնակչություն,,1.5
2016,%,,,,այլ ոչ ակտիվ բնակչություն,,1.2
2017,%,,,,այլ ոչ ակտիվ բնակչություն,,0.5
2018,%,,,,այլ ոչ ակտիվ բնակչություն,,0.8
2019,%,,,,այլ ոչ ակտիվ բնակչություն,,1.0
2015,%,,,,,հաշմանդամներ,1.0
2016,%,,,,,հաշմանդամներ,0.4
2017,%,,,,,հաշմանդամներ,0.7
2018,%,,,,,հաշմանդամներ,1.7
2019,%,,,,,հաշմանդամներ,1.2
2020,%,,,,,հաշմանդամներ,0.8
2021,%,,,,,հաշմանդամներ,0.4
2022,%,,,,,,0.8
2022,%,տղամարդ,,,,,0.8
2022,%,կին,,,,,0.9
2022,%,,քաղաք,,,,0.4
2022,%,,գյուղ,,,,1.4
2022,%,,,0-17 տարեկան,,,1.3
2022,%,,,18-66 տարեկան,,,0.8
2022,%,,,,տնտեսապես ակտիվ բնակչություն,,0.5
2022,%,,,,զբաղվածներ,,0.4
2022,%,,,,վարձու աշխատողներ,,0.4
2022,%,,,,ինքնազբաղված,,0.9
2022,%,,,,գործազուրկներ,,0.8
2022,%,,,,տնտեսապես ոչ ակտիվ բնակչություն,,0.7
2022,%,,,,թոշակառուներ,,0.1
2022,%,,,,ուսանողներ,,0.3
2022,%,,,,,հաշմանդամներ,0.4
2023,%,,,,,,0.6
2023,%,տղամարդ,,,,,0.6
2023,%,կին,,,,,0.6
2023,%,,քաղաք,,,,0.2
2023,%,,գյուղ,,,,1.1
2023,%,,,0-17 տարեկան,,,0.9
2023,%,,,18-66 տարեկան,,,0.6
2023,%,,,,տնտեսապես ակտիվ բնակչություն,,0.3
