Year,Units,Category,Value
2015,mln. dram,domestic material consumption,2773103.4
2016,mln. dram,domestic material consumption,2732252.3
2017,mln. dram,domestic material consumption,3120625.2
2018,mln. dram,domestic material consumption,3378262.0
2019,mln. dram,domestic material consumption,3844807.1
2020,mln. dram,domestic material consumption,3276763.0
2015,dram,domestic material consumption per capita,922952.6
2016,dram,domestic material consumption per capita,913094.4
2017,dram,domestic material consumption per capita,1047400.6
2018,dram,domestic material consumption per capita,1137845.1
2019,dram,domestic material consumption per capita,1297825.2
2020,dram,domestic material consumption per capita,1106453.8
2015,%,domestic material consumption per GDP,55.0
2016,%,domestic material consumption per GDP,53.9
2017,%,domestic material consumption per GDP,56.1
2018,%,domestic material consumption per GDP,56.1
2019,%,domestic material consumption per GDP,58.8
2020,%,domestic material consumption per GDP,53.0
2021,mln. dram,domestic material consumption,3511031.9
2021,dram,domestic material consumption per capita,1185238.5
2021,%,domestic material consumption per GDP,50.2
2022,mln. dram,domestic material consumption,4005168.9
2022,dram,domestic material consumption per capita,1367138.5
2022,%,domestic material consumption per GDP,47.1
2023,mln. dram,domestic material consumption,4394331.1
2023,dram,domestic material consumption per capita,1482417.8
2023,%,domestic material consumption per GDP,46.3
2024,mln. dram,domestic material consumption,4799964.6
2024,dram,domestic material consumption per capita,1582214.7
2024,%,domestic material consumption per GDP,47.1
