Year,Units,Կատեգորիա,Value
2015,"1,000 բնակչի հաշվով",բժիշկներ,4.4
2016,"1,000 բնակչի հաշվով",բժիշկներ,4.4
2017,"1,000 բնակչի հաշվով",բժիշկներ,4.4
2018,"1,000 բնակչի հաշվով",բժիշկներ,4.5
2019,"1,000 բնակչի հաշվով",բժիշկներ,4.7
2020,"1,000 բնակչի հաշվով",բժիշկներ,4.9
2021,"1,000 բնակչի հաշվով",բժիշկներ,4.9
2015,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.9
2016,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.8
2017,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.6
2018,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.6
2019,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.7
2020,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.7
2021,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.6
2015,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.8
2016,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.8
2017,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.7
2018,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.6
2019,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.7
2020,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.7
2021,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.6
2022,"1,000 բնակչի հաշվով",բժիշկներ,5.1
2022,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.5
2022,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.5
2023,"1,000 բնակչի հաշվով",բժիշկներ,4.7
2023,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.4
2023,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.6
2024,"1,000 բնակչի հաշվով",բժիշկներ,4.2
2024,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.4
2024,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.5
