Year,Units,Կրթության տեսակ,Սեռ,Value
2015,%,միջնակարգ,,86.4
2016,%,միջնակարգ,,86.0
2017,%,միջնակարգ,,85.7
2018,%,միջնակարգ,,83.0
2019,%,միջնակարգ,,83.2
2020,%,միջնակարգ,,83.2
2015,%,միջնակարգ,տղամարդ,84.6
2016,%,միջնակարգ,տղամարդ,84.7
2017,%,միջնակարգ,տղամարդ,84.6
2018,%,միջնակարգ,տղամարդ,81.4
2019,%,միջնակարգ,տղամարդ,81.7
2020,%,միջնակարգ,տղամարդ,81.8
2015,%,միջնակարգ,կին,88.3
2016,%,միջնակարգ,կին,87.5
2017,%,միջնակարգ,կին,87.0
2018,%,միջնակարգ,կին,84.7
2019,%,միջնակարգ,կին,85.0
2020,%,միջնակարգ,կին,84.9
2015,%,տարրական,,91.6
2016,%,տարրական,,91.2
2017,%,տարրական,,91.3
2018,%,տարրական,,91.1
2019,%,տարրական,,92.9
2020,%,տարրական,,93.2
2015,%,տարրական,տղամարդ,91.6
2016,%,տարրական,տղամարդ,91.3
2017,%,տարրական,տղամարդ,91.5
2018,%,տարրական,տղամարդ,90.9
2019,%,տարրական,տղամարդ,92.3
2020,%,տարրական,տղամարդ,93.0
2015,%,տարրական,կին,91.6
2016,%,տարրական,կին,91.2
2017,%,տարրական,կին,91.1
2018,%,տարրական,կին,91.4
2019,%,տարրական,կին,93.6
2020,%,տարրական,կին,93.5
2015,%,հիմնական,,96.3
2016,%,հիմնական,,90.7
2017,%,հիմնական,,90.1
2018,%,հիմնական,,89.4
2019,%,հիմնական,,90.0
2020,%,հիմնական,,90.6
2015,%,հիմնական,տղամարդ,95.9
2016,%,հիմնական,տղամարդ,90.3
2017,%,հիմնական,տղամարդ,89.8
2018,%,հիմնական,տղամարդ,88.8
2019,%,հիմնական,տղամարդ,89.4
2020,%,հիմնական,տղամարդ,90.2
2015,%,հիմնական,կին,96.7
2016,%,հիմնական,կին,91.0
2017,%,հիմնական,կին,90.4
2018,%,հիմնական,կին,90.1
2019,%,հիմնական,կին,90.6
2020,%,հիմնական,կին,91.1
2015,%,ավագ,,57.9
2016,%,ավագ,,65.1
2017,%,ավագ,,65.5
2018,%,ավագ,,59.9
2019,%,ավագ,,59.5
2020,%,ավագ,,57.9
2015,%,ավագ,տղամարդ,53.1
2016,%,ավագ,տղամարդ,59.4
2017,%,ավագ,տղամարդ,60.5
2018,%,ավագ,տղամարդ,54.8
2019,%,ավագ,տղամարդ,54.5
2020,%,ավագ,տղամարդ,53.0
2015,%,ավագ,կին,63.5
2016,%,ավագ,կին,71.7
2017,%,ավագ,կին,71.1
2018,%,ավագ,կին,65.7
2019,%,ավագ,կին,65.1
2020,%,ավագ,կին,63.5
2015,%,նախնական մասնագիտական (արհեստագործական),,7.2
2016,%,նախնական մասնագիտական (արհեստագործական),,8.1
2017,%,նախնական մասնագիտական (արհեստագործական),,8.6
2018,%,նախնական մասնագիտական (արհեստագործական),,6.7
2019,%,նախնական մասնագիտական (արհեստագործական),,6.3
2020,%,նախնական մասնագիտական (արհեստագործական),,6.2
2015,%,նախնական մասնագիտական (արհեստագործական),տղամարդ,9.8
2016,%,նախնական մասնագիտական (արհեստագործական),տղամարդ,10.9
2017,%,նախնական մասնագիտական (արհեստագործական),տղամարդ,11.4
2018,%,նախնական մասնագիտական (արհեստագործական),տղամարդ,9.2
2019,%,նախնական մասնագիտական (արհեստագործական),տղամարդ,8.9
2020,%,նախնական մասնագիտական (արհեստագործական),տղամարդ,8.9
2015,%,նախնական մասնագիտական (արհեստագործական),կին,4.2
2016,%,նախնական մասնագիտական (արհեստագործական),կին,4.9
2017,%,նախնական մասնագիտական (արհեստագործական),կին,5.4
2018,%,նախնական մասնագիտական (արհեստագործական),կին,3.9
2019,%,նախնական մասնագիտական (արհեստագործական),կին,3.3
2020,%,նախնական մասնագիտական (արհեստագործական),կին,3.1
2015,%,միջին մասնագիտական,,10.9
2016,%,միջին մասնագիտական,,11.1
2017,%,միջին մասնագիտական,,11.5
2018,%,միջին մասնագիտական,,11.7
2019,%,միջին մասնագիտական,,12.5
2020,%,միջին մասնագիտական,,13.9
2015,%,միջին մասնագիտական,տղամարդ,9.5
2016,%,միջին մասնագիտական,տղամարդ,9.8
2017,%,միջին մասնագիտական,տղամարդ,10.0
2018,%,միջին մասնագիտական,տղամարդ,10.4
2019,%,միջին մասնագիտական,տղամարդ,11.2
2020,%,միջին մասնագիտական,տղամարդ,12.8
2015,%,միջին մասնագիտական,կին,12.5
2016,%,միջին մասնագիտական,կին,12.5
2017,%,միջին մասնագիտական,կին,13.1
2018,%,միջին մասնագիտական,կին,13.1
2019,%,միջին մասնագիտական,կին,13.9
2020,%,միջին մասնագիտական,կին,15.1
2015,%,"specialized high education, first stage (bachelor's Degree)",,52.9
2016,%,"specialized high education, first stage (bachelor's Degree)",,54.1
2017,%,"specialized high education, first stage (bachelor's Degree)",,56.4
2018,%,"specialized high education, first stage (bachelor's Degree)",,52.2
2019,%,"specialized high education, first stage (bachelor's Degree)",,50.4
2020,%,"specialized high education, first stage (bachelor's Degree)",,54.4
2015,%,"specialized high education, first stage (bachelor's Degree)",տղամարդ,47.0
2016,%,"specialized high education, first stage (bachelor's Degree)",տղամարդ,48.6
2017,%,"specialized high education, first stage (bachelor's Degree)",տղամարդ,51.5
2018,%,"specialized high education, first stage (bachelor's Degree)",տղամարդ,48.2
2019,%,"specialized high education, first stage (bachelor's Degree)",տղամարդ,44.8
2020,%,"specialized high education, first stage (bachelor's Degree)",տղամարդ,48.3
2015,%,"specialized high education, first stage (bachelor's Degree)",կին,59.1
2016,%,"specialized high education, first stage (bachelor's Degree)",կին,60.0
2017,%,"specialized high education, first stage (bachelor's Degree)",կին,61.8
2018,%,"specialized high education, first stage (bachelor's Degree)",կին,56.6
2019,%,"specialized high education, first stage (bachelor's Degree)",կին,56.6
2020,%,"specialized high education, first stage (bachelor's Degree)",կին,61.1
2015,%,"post-graduate education, second stage (master's Degree)",,12.7
2016,%,"post-graduate education, second stage (master's Degree)",,13.1
2017,%,"post-graduate education, second stage (master's Degree)",,14.8
2018,%,"post-graduate education, second stage (master's Degree)",,14.1
2019,%,"post-graduate education, second stage (master's Degree)",,14.6
2020,%,"post-graduate education, second stage (master's Degree)",,15.7
2015,%,"post-graduate education, second stage (master's Degree)",տղամարդ,9.9
2016,%,"post-graduate education, second stage (master's Degree)",տղամարդ,10.7
2017,%,"post-graduate education, second stage (master's Degree)",տղամարդ,9.9
2018,%,"post-graduate education, second stage (master's Degree)",տղամարդ,8.9
2019,%,"post-graduate education, second stage (master's Degree)",տղամարդ,9.1
2020,%,"post-graduate education, second stage (master's Degree)",տղամարդ,9.5
2015,%,"post-graduate education, second stage (master's Degree)",կին,15.5
2016,%,"post-graduate education, second stage (master's Degree)",կին,15.4
2017,%,"post-graduate education, second stage (master's Degree)",կին,19.6
2018,%,"post-graduate education, second stage (master's Degree)",կին,19.4
2019,%,"post-graduate education, second stage (master's Degree)",կին,20.3
2020,%,"post-graduate education, second stage (master's Degree)",կին,22.4
