Year,Units,Категория,Value
2015,%,электричество,100.0
2016,%,электричество,100.0
2017,%,электричество,100.0
2018,%,электричество,100.0
2019,%,электричество,100.0
2020,%,электричество,100.0
2015,%,"доля школ, подключенных к Интернету",99.9
2016,%,"доля школ, подключенных к Интернету",100.0
2017,%,"доля школ, подключенных к Интернету",100.0
2018,%,"доля школ, подключенных к Интернету",100.0
2019,%,"доля школ, подключенных к Интернету",100.0
2020,%,"доля школ, подключенных к Интернету",100.0
2015,%,число учителей на компьютер,1.8
2016,%,число учителей на компьютер,1.7
2017,%,число учителей на компьютер,1.7
2018,%,число учителей на компьютер,1.5
2019,%,число учителей на компьютер,1.3
2020,%,число учителей на компьютер,1.3
2015,%,водоснабжение,93.9
2016,%,водоснабжение,95.0
2017,%,водоснабжение,94.9
2018,%,водоснабжение,94.9
2019,%,водоснабжение,94.9
2020,%,водоснабжение,95.0
2015,%,канализация,89.4
2016,%,канализация,90.1
2017,%,канализация,90.4
2018,%,канализация,90.1
2019,%,канализация,90.1
2020,%,канализация,90.3
2021,%,электричество,100.0
2021,%,"доля школ, подключенных к Интернету",100.0
2021,%,число учителей на компьютер,1.3
2021,%,водоснабжение,95.0
2021,%,канализация,90.4
2022,%,электричество,100.0
2022,%,"доля школ, подключенных к Интернету",100.0
2022,%,число учителей на компьютер,1.3
2022,%,водоснабжение,95.1
2022,%,канализация,90.6
2023,%,электричество,100.0
2023,%,"доля школ, подключенных к Интернету",100.0
2023,%,число учителей на компьютер,1.2
2023,%,водоснабжение,96.7
2023,%,канализация,92.4
2024,%,электричество,100.0
2024,%,"доля школ, подключенных к Интернету",100.0
2024,%,число учителей на компьютер,1.2
2024,%,водоснабжение,97.0
2024,%,канализация,93.1
