Year,Units,Sex,Value
2015,"per 1,000 life births",,8.8
2016,"per 1,000 life births",,8.6
2017,"per 1,000 life births",,8.2
2018,"per 1,000 life births",,7.1
2019,"per 1,000 life births",,6.1
2020,"per 1,000 life births",,7.4
2021,"per 1,000 life births",,6.9
2015,"per 1,000 life births",boy,9.4
2016,"per 1,000 life births",boy,9.9
2017,"per 1,000 life births",boy,8.8
2018,"per 1,000 life births",boy,7.4
2019,"per 1,000 life births",boy,6.8
2020,"per 1,000 life births",boy,8.2
2021,"per 1,000 life births",boy,7.8
2015,"per 1,000 life births",girl,8.2
2016,"per 1,000 life births",girl,7.3
2017,"per 1,000 life births",girl,7.6
2018,"per 1,000 life births",girl,6.8
2019,"per 1,000 life births",girl,5.3
2020,"per 1,000 life births",girl,6.4
2021,"per 1,000 life births",girl,5.9
2022,"per 1,000 life births",boy,8.0
2022,"per 1,000 life births",girl,5.3
2015,"per 1,000 life births",urban,8.6
2016,"per 1,000 life births",urban,7.6
2017,"per 1,000 life births",urban,7.2
2018,"per 1,000 life births",urban,6.7
2019,"per 1,000 life births",urban,5.2
2020,"per 1,000 life births",urban,6.1
2021,"per 1,000 life births",urban,6.6
2015,"per 1,000 life births",rural,9.3
2016,"per 1,000 life births",rural,10.6
2017,"per 1,000 life births",rural,10.1
2018,"per 1,000 life births",rural,7.9
2019,"per 1,000 life births",rural,7.8
2020,"per 1,000 life births",rural,10.1
2021,"per 1,000 life births",rural,7.6
2022,"per 1,000 life births",urban,7.7
2022,"per 1,000 life births",rural,5.6
2022,"per 1,000 life births",,6.7
2023,"per 1,000 life births",,6.6
2023,"per 1,000 life births",urban,6.7
2023,"per 1,000 life births",rural,6.5
2023,"per 1,000 life births",boy,7.2
2023,"per 1,000 life births",girl,5.9
2024,"per 1,000 life births",,6.2
2024,"per 1,000 life births",urban,8.2
2024,"per 1,000 life births",rural,3.9
2024,"per 1,000 life births",boy,7.4
2024,"per 1,000 life births",girl,4.9
