Year,Индикатор,Units,Value
2015,Foreign direct investment (FDI) inflows,млн. долл. США,184.1
2016,Foreign direct investment (FDI) inflows,млн. долл. США,333.8
2017,Foreign direct investment (FDI) inflows,млн. долл. США,252.7
2018,Foreign direct investment (FDI) inflows,млн. долл. США,266.9
2019,Foreign direct investment (FDI) inflows,млн. долл. США,100.3
2020,Foreign direct investment (FDI) inflows,млн. долл. США,58.6
2021,Foreign direct investment (FDI) inflows,млн. долл. США,366.4
2022,Foreign direct investment (FDI) inflows,млн. долл. США,975.7
2023,Foreign direct investment (FDI) inflows,млн. долл. США,580.4
2024,Foreign direct investment (FDI) inflows,млн. долл. США,131.6
