Year,Доступ к услугам,Units,Место нахождения,Пол,Бедность,Value
2015,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,97.3
2016,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,97.9
2017,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,97.3
2018,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,97.9
2019,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,96.1
2020,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,95.5
2021,Доступ к централизованному водоснабжению для членов домохозяства,%,,,,95.3
2015,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.9
2016,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,100.0
2017,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.9
2018,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.7
2019,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.5
2020,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.7
2021,Доступ к централизованному водоснабжению для членов домохозяства,%,город,,,99.9
2015,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,92.5
2016,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,94.0
2017,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,93.3
2018,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,94.4
2019,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,90.6
2020,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,89.6
2021,Доступ к централизованному водоснабжению для членов домохозяства,%,село,,,89.6
2015,Доступ к централизованной канализации для членов домохозяйства,%,,,,69.9
2016,Доступ к централизованной канализации для членов домохозяйства,%,,,,69.7
2017,Доступ к централизованной канализации для членов домохозяйства,%,,,,69.8
2018,Доступ к централизованной канализации для членов домохозяйства,%,,,,71.9
2019,Доступ к централизованной канализации для членов домохозяйства,%,,,,74.7
2020,Доступ к централизованной канализации для членов домохозяйства,%,,,,77.9
2021,Доступ к централизованной канализации для членов домохозяйства,%,,,,76.7
2015,Доступ к централизованной канализации для членов домохозяйства,%,город,,,96.4
2016,Доступ к централизованной канализации для членов домохозяйства,%,город,,,96.1
2017,Доступ к централизованной канализации для членов домохозяйства,%,город,,,97.8
2018,Доступ к централизованной канализации для членов домохозяйства,%,город,,,98.1
2019,Доступ к централизованной канализации для членов домохозяйства,%,город,,,97.3
2020,Доступ к централизованной канализации для членов домохозяйства,%,город,,,98.7
2021,Доступ к централизованной канализации для членов домохозяйства,%,город,,,99.3
2015,Доступ к централизованной канализации для членов домохозяйства,%,село,,,20.3
2016,Доступ к централизованной канализации для членов домохозяйства,%,село,,,20.3
2017,Доступ к централизованной канализации для членов домохозяйства,%,село,,,25.3
2018,Доступ к централизованной канализации для членов домохозяйства,%,село,,,28.6
2019,Доступ к централизованной канализации для членов домохозяйства,%,село,,,38.1
2020,Доступ к централизованной канализации для членов домохозяйства,%,село,,,48.6
2021,Доступ к централизованной канализации для членов домохозяйства,%,село,,,47.5
2015,Услуга доступа к мусору для членов семьи,%,,,,87.6
2016,Услуга доступа к мусору для членов семьи,%,,,,86.6
2017,Услуга доступа к мусору для членов семьи,%,,,,91.7
2018,Услуга доступа к мусору для членов семьи,%,,,,93.6
2019,Услуга доступа к мусору для членов семьи,%,,,,95.7
2020,Услуга доступа к мусору для членов семьи,%,,,,97.0
2021,Услуга доступа к мусору для членов семьи,%,,,,95.7
2015,Услуга доступа к мусору для членов семьи,%,город,,,98.7
2016,Услуга доступа к мусору для членов семьи,%,город,,,98.7
2017,Услуга доступа к мусору для членов семьи,%,город,,,99.8
2018,Услуга доступа к мусору для членов семьи,%,город,,,99.4
2019,Услуга доступа к мусору для членов семьи,%,город,,,99.9
2020,Услуга доступа к мусору для членов семьи,%,город,,,99.4
2021,Услуга доступа к мусору для членов семьи,%,город,,,99.8
2015,Услуга доступа к мусору для членов семьи,%,село,,,66.7
2016,Услуга доступа к мусору для членов семьи,%,село,,,63.6
2017,Услуга доступа к мусору для членов семьи,%,село,,,78.7
2018,Услуга доступа к мусору для членов семьи,%,село,,,84.2
2019,Услуга доступа к мусору для членов семьи,%,село,,,89.0
2020,Услуга доступа к мусору для членов семьи,%,село,,,92.6
2021,Услуга доступа к мусору для членов семьи,%,село,,,89.5
2015,доступ членов домашнего хозяйства к интернету,%,,,,59.1
2016,доступ членов домашнего хозяйства к интернету,%,,,,64.3
2017,доступ членов домашнего хозяйства к интернету,%,,,,64.7
2018,доступ членов домашнего хозяйства к интернету,%,,,,68.2
2019,доступ членов домашнего хозяйства к интернету,%,,,,66.5
2020,доступ членов домашнего хозяйства к интернету,%,,,,76.5
2021,доступ членов домашнего хозяйства к интернету,%,,,,78.6
2015,доступ членов домашнего хозяйства к интернету,%,,мужчина,,60.8
2016,доступ членов домашнего хозяйства к интернету,%,,мужчина,,65.5
2017,доступ членов домашнего хозяйства к интернету,%,,мужчина,,66.3
2018,доступ членов домашнего хозяйства к интернету,%,,мужчина,,69.9
2019,доступ членов домашнего хозяйства к интернету,%,,мужчина,,65.8
2020,доступ членов домашнего хозяйства к интернету,%,,мужчина,,74.9
2021,доступ членов домашнего хозяйства к интернету,%,,мужчина,,75.5
2015,доступ членов домашнего хозяйства к интернету,%,,женщина,,57.8
2016,доступ членов домашнего хозяйства к интернету,%,,женщина,,63.4
2017,доступ членов домашнего хозяйства к интернету,%,,женщина,,63.4
2018,доступ членов домашнего хозяйства к интернету,%,,женщина,,66.9
2019,доступ членов домашнего хозяйства к интернету,%,,женщина,,67.2
2020,доступ членов домашнего хозяйства к интернету,%,,женщина,,78.1
2021,доступ членов домашнего хозяйства к интернету,%,,женщина,,81.4
2015,Доступ к электроэнергии для членов семьи,%,,,,99.6
2016,Доступ к электроэнергии для членов семьи,%,,,,99.8
2017,Доступ к электроэнергии для членов семьи,%,,,,99.7
2018,Доступ к электроэнергии для членов семьи,%,,,,99.9
2019,Доступ к электроэнергии для членов семьи,%,,,,100.0
2020,Доступ к электроэнергии для членов семьи,%,,,,100.0
2021,Доступ к электроэнергии для членов семьи,%,,,,100.0
2015,Доступ к электроэнергии для членов семьи,%,город,,,95.5
2016,Доступ к электроэнергии для членов семьи,%,город,,,99.8
2017,Доступ к электроэнергии для членов семьи,%,город,,,99.8
2018,Доступ к электроэнергии для членов семьи,%,город,,,99.9
2019,Доступ к электроэнергии для членов семьи,%,город,,,100.0
2020,Доступ к электроэнергии для членов семьи,%,город,,,100.0
2021,Доступ к электроэнергии для членов семьи,%,город,,,100.0
2015,Доступ к электроэнергии для членов семьи,%,село,,,96.7
2016,Доступ к электроэнергии для членов семьи,%,село,,,99.7
2017,Доступ к электроэнергии для членов семьи,%,село,,,99.7
2018,Доступ к электроэнергии для членов семьи,%,село,,,99.9
2019,Доступ к электроэнергии для членов семьи,%,село,,,100.0
2020,Доступ к электроэнергии для членов семьи,%,село,,,100.0
2021,Доступ к электроэнергии для членов семьи,%,село,,,100.0
2017,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,,57.0
2018,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,,59.3
2019,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,,69.2
2020,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,,73.3
2021,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,,,,69.9
2015,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,город,,,82.5
2016,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,город,,,81.3
2017,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,город,,,84.0
2018,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,город,,,85.1
2019,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,город,,,92.9
2020,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,город,,,94.8
2021,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,город,,,93.4
2015,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,село,,,15.5
2016,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,село,,,13.3
2017,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,село,,,14.5
2018,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,село,,,17.2
2019,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,село,,,31.5
2020,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,село,,,42.7
2021,"Доля членов домохозяйств, в первую очередь зависящих от экологически чистых видов топлива и технологий.",%,село,,,40.5
