Year,Units,Пол,Возраст,Тип,Value
2020,%,мужчина,,,81.2
2021,%,мужчина,,,77.0
2022,%,мужчина,,,74.0
2023,%,мужчина,,,72.1
2020,%,женщина,,,79.1
2021,%,женщина,,,76.6
2022,%,женщина,,,74.2
2023,%,женщина,,,71.6
2020,%,,15-24 лет,,79.2
2021,%,,15-24 лет,,76.1
2022,%,,15-24 лет,,74.6
2023,%,,15-24 лет,,72.6
2020,%,,aged 25-64 years,,80.8
2021,%,,aged 25-64 years,,76.7
2022,%,,aged 25-64 years,,73.9
2023,%,,aged 25-64 years,,71.4
2020,%,,65 и более лет,,77.6
2021,%,,65 и более лет,,78.4
2022,%,,65 и более лет,,72.3
2023,%,,65 и более лет,,70.1
2020,%,,,инвалиды,78.1
2021,%,,,инвалиды,78.5
2022,%,,,инвалиды,75.6
2023,%,,,инвалиды,71.7
2020,%,,,,80.1
2021,%,,,,76.7
2022,%,,,,74.1
2023,%,,,,71.8
