Year,Units,Пол,Категория,Возраст,Value
2015,%,,,,29.1
2016,%,,,,27.8
2017,%,,,,25.8
2018,%,,,,23.6
2020,%,,,,19.1
2021,%,,,,18.7
2015,%,мужчина,,,27.9
2016,%,мужчина,,,26.5
2017,%,мужчина,,,24.9
2018,%,мужчина,,,21.9
2020,%,мужчина,,,18.5
2021,%,мужчина,,,18.5
2015,%,женщина,,,30.1
2016,%,женщина,,,28.9
2017,%,женщина,,,26.6
2018,%,женщина,,,25.0
2020,%,женщина,,,19.7
2021,%,женщина,,,18.8
2015,%,,дети,,31.4
2016,%,,дети,,31.3
2017,%,,дети,,29.5
2018,%,,дети,,25.5
2020,%,,дети,,20.0
2021,%,,дети,,19.3
2015,%,,,0-5 лет,26.3
2016,%,,,0-5 лет,27.7
2017,%,,,0-5 лет,25.7
2018,%,,,0-5 лет,22.5
2020,%,,,0-5 лет,16.5
2021,%,,,0-5 лет,15.9
2015,%,,,6-17 лет,34.2
2016,%,,,6-17 лет,33.2
2017,%,,,6-17 лет,31.3
2018,%,,,6-17 лет,27.0
2020,%,,,6-17 лет,21.6
2021,%,,,6-17 лет,20.8
2015,%,,,18-64 лет,27.0
2016,%,,,18-64 лет,25.4
2017,%,,,18-64 лет,23.6
2018,%,,,18-64 лет,20.0
2020,%,,,18-64 лет,15.7
2021,%,,,18-64 лет,15.2
2015,%,,,65 и более лет,34.6
2016,%,,,65 и более лет,33.1
2017,%,,,65 и более лет,29.2
2018,%,,,65 и более лет,35.0
2020,%,,,65 и более лет,32.1
2021,%,,,65 и более лет,31.5
2022,%,,,,20.7
2022,%,мужчина,,,19.4
2022,%,женщина,,,21.8
2022,%,,дети,,21.1
2022,%,,,0-5 лет,17.7
2022,%,,,6-17 лет,22.6
2022,%,,,18-64 лет,17.6
2022,%,,,65 и более лет,30.5
2023,%,,,,17.3
2023,%,мужчина,,,16.2
2023,%,женщина,,,18.3
2023,%,,дети,,17.5
2023,%,,,0-5 лет,14.2
2023,%,,,6-17 лет,19.0
2023,%,,,18-64 лет,14.2
2023,%,,,65 и более лет,27.0
