Year,Units,Пол,Расположение,Возраст,Value
2015,%,,,,6.68
2016,%,,,,6.87
2017,%,,,,6.51
2018,%,,,,6.36
2019,%,,,,6.49
2020,%,,,,6.47
2015,%,мужчина,,,7.25
2016,%,мужчина,,,7.42
2017,%,мужчина,,,7.14
2018,%,мужчина,,,7.01
2019,%,мужчина,,,7.15
2020,%,мужчина,,,7.13
2015,%,женщина,,,6.16
2016,%,женщина,,,6.37
2017,%,женщина,,,5.94
2018,%,женщина,,,5.77
2019,%,женщина,,,5.89
2020,%,женщина,,,5.88
2015,%,,город,,7.15
2016,%,,город,,7.29
2017,%,,город,,6.92
2018,%,,город,,6.74
2019,%,,город,,6.83
2020,%,,город,,6.77
2015,%,мужчина,город,,7.68
2016,%,мужчина,город,,7.8
2017,%,мужчина,город,,7.5
2018,%,мужчина,город,,7.33
2019,%,мужчина,город,,7.42
2020,%,мужчина,город,,7.36
2015,%,женщина,город,,6.69
2016,%,женщина,город,,6.84
2017,%,женщина,город,,6.42
2018,%,женщина,город,,6.23
2019,%,женщина,город,,6.31
2020,%,женщина,город,,6.27
2015,%,,село,,5.85
2016,%,,село,,6.13
2017,%,,село,,5.77
2018,%,,село,,5.67
2019,%,,село,,5.89
2020,%,,село,,5.94
2015,%,мужчина,село,,6.54
2016,%,мужчина,село,,6.78
2017,%,мужчина,село,,6.55
2018,%,мужчина,село,,6.47
2019,%,мужчина,село,,6.7
2020,%,мужчина,село,,6.76
2015,%,женщина,село,,5.17
2016,%,женщина,село,,5.5
2017,%,женщина,село,,5.03
2018,%,женщина,село,,4.9
2019,%,женщина,село,,5.11
2020,%,женщина,село,,5.16
2015,%,,,0-17 лет,1.13
2016,%,,,0-17 лет,1.18
2017,%,,,0-17 лет,1.18
2018,%,,,0-17 лет,1.17
2019,%,,,0-17 лет,1.23
2020,%,,,0-17 лет,1.24
2015,%,мужчина,,0-17 лет,1.46
2016,%,мужчина,,0-17 лет,1.5
2017,%,мужчина,,0-17 лет,1.52
2018,%,мужчина,,0-17 лет,1.51
2019,%,мужчина,,0-17 лет,1.58
2020,%,мужчина,,0-17 лет,1.6
2015,%,женщина,,0-17 лет,0.75
2016,%,женщина,,0-17 лет,0.8
2017,%,женщина,,0-17 лет,0.79
2018,%,женщина,,0-17 лет,0.78
2019,%,женщина,,0-17 лет,0.82
2020,%,женщина,,0-17 лет,0.83
2015,%,,,18-39 лет,2.48
2016,%,,,18-39 лет,2.52
2017,%,,,18-39 лет,2.4
2018,%,,,18-39 лет,2.31
2019,%,,,18-39 лет,2.36
2020,%,,,18-39 лет,2.36
2015,%,мужчина,,18-39 лет,3.47
2016,%,мужчина,,18-39 лет,3.52
2017,%,мужчина,,18-39 лет,3.39
2018,%,мужчина,,18-39 лет,3.26
2019,%,мужчина,,18-39 лет,3.3
2020,%,мужчина,,18-39 лет,3.3
2015,%,женщина,,18-39 лет,1.55
2016,%,женщина,,18-39 лет,1.57
2017,%,женщина,,18-39 лет,1.48
2018,%,женщина,,18-39 лет,1.41
2019,%,женщина,,18-39 лет,1.47
2020,%,женщина,,18-39 лет,1.48
2015,%,,,40-62 лет,11.61
2016,%,,,40-62 лет,11.76
2017,%,,,40-62 лет,10.39
2018,%,,,40-62 лет,9.66
2019,%,,,40-62 лет,9.6
2020,%,,,40-62 лет,9.25
2015,%,мужчина,,40-62 лет,12.58
2016,%,мужчина,,40-62 лет,12.85
2017,%,мужчина,,40-62 лет,11.85
2018,%,мужчина,,40-62 лет,11.29
2019,%,мужчина,,40-62 лет,11.36
2020,%,мужчина,,40-62 лет,11.06
2015,%,женщина,,40-62 лет,10.81
2016,%,женщина,,40-62 лет,10.85
2017,%,женщина,,40-62 лет,9.19
2018,%,женщина,,40-62 лет,8.34
2019,%,женщина,,40-62 лет,8.19
2020,%,женщина,,40-62 лет,7.78
2015,%,,,63 и более лет,16.87
2016,%,,,63 и более лет,17.59
2017,%,,,63 и более лет,17.74
2018,%,,,63 и более лет,17.92
2019,%,,,63 и более лет,18.2
2020,%,,,63 и более лет,18.36
2015,%,мужчина,,63 и более лет,19.81
2016,%,мужчина,,63 и более лет,20.19
2017,%,мужчина,,63 и более лет,20.18
2018,%,мужчина,,63 и более лет,20.25
2019,%,мужчина,,63 и более лет,20.44
2020,%,мужчина,,63 и более лет,20.48
2015,%,женщина,,63 и более лет,14.9
2016,%,женщина,,63 и более лет,15.85
2017,%,женщина,,63 и более лет,16.12
2018,%,женщина,,63 и более лет,16.37
2019,%,женщина,,63 и более лет,16.71
2020,%,женщина,,63 и более лет,16.95
