Year,Units,Series,Value
2015,балл,"Progress toward productive and sustainable agriculture, trend score",3.0
2016,балл,"Progress toward productive and sustainable agriculture, trend score",1.86
2017,балл,"Progress toward productive and sustainable agriculture, trend score",2.57
2018,балл,"Progress toward productive and sustainable agriculture, trend score",2.43
2019,балл,"Progress toward productive and sustainable agriculture, trend score",2.29
2020,балл,"Progress toward productive and sustainable agriculture, trend score",2.29
2021,балл,"Progress toward productive and sustainable agriculture, trend score",2.29
2022,балл,"Progress toward productive and sustainable agriculture, trend score",2.29
2023,балл,"Progress toward productive and sustainable agriculture, trend score",2.29
2024,балл,"Progress toward productive and sustainable agriculture, trend score",2.29
2015,балл,"Progress toward productive and sustainable agriculture, current status score",2.71
2016,балл,"Progress toward productive and sustainable agriculture, current status score",2.57
2017,балл,"Progress toward productive and sustainable agriculture, current status score",2.71
2018,балл,"Progress toward productive and sustainable agriculture, current status score",2.71
2019,балл,"Progress toward productive and sustainable agriculture, current status score",2.71
2020,балл,"Progress toward productive and sustainable agriculture, current status score",2.71
2021,балл,"Progress toward productive and sustainable agriculture, current status score",2.86
2022,балл,"Progress toward productive and sustainable agriculture, current status score",2.86
2023,балл,"Progress toward productive and sustainable agriculture, current status score",3.0
2024,балл,"Progress toward productive and sustainable agriculture, current status score",3.0
