Year,Units,Категория,Value
2015,%,а) национальные парламенты,10.7
2016,%,а) национальные парламенты,9.9
2017,%,а) национальные парламенты,18.1
2018,%,а) национальные парламенты,19.0
2019,%,а) национальные парламенты,23.0
2020,%,а) национальные парламенты,22.7
2015,%,б) местное управление,8.7
2016,%,б) местное управление,10.8
2017,%,б) местное управление,9.4
2018,%,б) местное управление,9.0
2019,%,б) местное управление,9.0
2020,%,б) местное управление,9.1
2021,%,б) местное управление,24.7
2021,%,а) национальные парламенты,35.5
2022,%,а) национальные парламенты,35.5
2022,%,б) местное управление,28.0
2023,%,а) национальные парламенты,36.4
2023,%,б) местное управление,27.8
2024,%,а) национальные парламенты,38.3
2024,%,б) местное управление,25.2
