Year,Units,тип образования,Value
2015,%,начальное,1.0
2016,%,начальное,1.0
2017,%,начальное,1.0
2018,%,начальное,1.01
2019,%,начальное,1.01
2020,%,начальное,1.01
2015,%,основная,1.01
2016,%,основная,1.01
2017,%,основная,1.01
2018,%,основная,1.01
2019,%,основная,1.01
2020,%,основная,1.01
2015,%,высшее Старшая,1.2
2016,%,высшее Старшая,1.21
2017,%,высшее Старшая,1.17
2018,%,высшее Старшая,1.2
2019,%,высшее Старшая,1.19
2020,%,высшее Старшая,1.2
2015,%,Общеобразовательная,1.04
2016,%,Общеобразовательная,1.03
2017,%,Общеобразовательная,1.03
2018,%,Общеобразовательная,1.04
2019,%,Общеобразовательная,1.04
2020,%,Общеобразовательная,1.04
2015,%,начальное профессиональное (ремесленное),0.43
2016,%,начальное профессиональное (ремесленное),0.45
2017,%,начальное профессиональное (ремесленное),0.48
2018,%,начальное профессиональное (ремесленное),0.42
2019,%,начальное профессиональное (ремесленное),0.37
2020,%,начальное профессиональное (ремесленное),0.35
2015,%,среднепрофессиональное,1.31
2016,%,среднепрофессиональное,1.29
2017,%,среднепрофессиональное,1.31
2018,%,среднепрофессиональное,1.26
2019,%,среднепрофессиональное,1.24
2020,%,среднепрофессиональное,1.18
2015,%,высшее образование первой ступени,1.26
2016,%,высшее образование первой ступени,1.24
2017,%,высшее образование первой ступени,1.2
2018,%,высшее образование первой ступени,1.17
2019,%,высшее образование первой ступени,1.27
2020,%,высшее образование первой ступени,1.27
2015,%,высшее образование второй ступени,1.57
2016,%,высшее образование второй ступени,1.44
2017,%,высшее образование второй ступени,1.98
2018,%,высшее образование второй ступени,2.19
2019,%,высшее образование второй ступени,2.24
2020,%,высшее образование второй ступени,2.36
