Year,Units,Пол,Value
2015,%,,78.82
2016,%,,78.22
2017,%,,77.2
2018,%,,76.98
2019,%,,75.95
2020,%,,75.04
2015,%,мужчина,72.82
2016,%,мужчина,72.7
2017,%,мужчина,72.06
2018,%,мужчина,72.38
2019,%,мужчина,71.91
2020,%,мужчина,71.59
2015,%,женщина,82.85
2016,%,женщина,81.91
2017,%,женщина,80.62
2018,%,женщина,80.05
2019,%,женщина,78.63
2020,%,женщина,77.31
2021,%,,73.64
2021,%,мужчина,70.66
2021,%,женщина,75.59
2022,%,,72.27
2022,%,мужчина,69.73
2022,%,женщина,73.94
2023,%,,71.3
2023,%,мужчина,69.07
2023,%,женщина,72.78
2024,%,,70.91
2024,%,мужчина,68.79
2024,%,женщина,72.32
