Year,Units,Категория,Value
2015,"на 100,000 населения",сердечно-сосудистые заболевания,221.9
2016,"на 100,000 населения",сердечно-сосудистые заболевания,239.3
2017,"на 100,000 населения",сердечно-сосудистые заболевания,254.4
2015,"на 100,000 населения",рак,206.3
2016,"на 100,000 населения",рак,189.2
2017,"на 100,000 населения",рак,188.9
2015,"на 100,000 населения",сахарный диабет,34.5
2016,"на 100,000 населения",сахарный диабет,32.6
2017,"на 100,000 населения",сахарный диабет,24.1
2018,"на 100,000 населения",сердечно-сосудистые заболевания,254.0
2018,"на 100,000 населения",рак,176.2
2018,"на 100,000 населения",сахарный диабет,15.9
2018,"на 100,000 населения",хроническая респираторная болезнь,27.4
2015,"на 100,000 населения",хроническая респираторная болезнь,24.6
2016,"на 100,000 населения",хроническая респираторная болезнь,27.9
2017,"на 100,000 населения",хроническая респираторная болезнь,21.4
2019,"на 100,000 населения",сердечно-сосудистые заболевания,245.6
2019,"на 100,000 населения",рак,187.1
2019,"на 100,000 населения",сахарный диабет,13.3
2019,"на 100,000 населения",хроническая респираторная болезнь,30.5
2020,"на 100,000 населения",сердечно-сосудистые заболевания,289.0
2020,"на 100,000 населения",рак,178.5
2020,"на 100,000 населения",сахарный диабет,11.9
2020,"на 100,000 населения",хроническая респираторная болезнь,10.0
2021,"на 100,000 населения",сердечно-сосудистые заболевания,278.7
2021,"на 100,000 населения",рак,173.8
2021,"на 100,000 населения",сахарный диабет,9.3
2021,"на 100,000 населения",сердечно-сосудистые заболевания,10.8
