Year,Units,тип бедствия,Value
2020,"person per 100,000 population",стихийные бедствия,
2020,"person per 100,000 population",техногенные бедствия,
2020,"person per 100,000 population",социально-биологические бедствия,5393.9
2021,"person per 100,000 population",стихийные бедствия,
2021,"person per 100,000 population",техногенные бедствия,
2021,"person per 100,000 population",социально-биологические бедствия,6253.3
2022,"person per 100,000 population",стихийные бедствия,
2022,"person per 100,000 population",техногенные бедствия,
2022,"person per 100,000 population",социально-биологические бедствия,3409.3
2023,"person per 100,000 population",стихийные бедствия,
2023,"person per 100,000 population",техногенные бедствия,
2023,"person per 100,000 population",социально-биологические бедствия,197.7
2024,"person per 100,000 population",стихийные бедствия,14.8
2024,"person per 100,000 population",техногенные бедствия,
2024,"person per 100,000 population",социально-биологические бедствия,88.6
2020,"person per 100,000 population",,5393.9
2021,"person per 100,000 population",,6253.3
2022,"person per 100,000 population",,3409.3
2023,"person per 100,000 population",,197.7
2024,"person per 100,000 population",,103.4
