Year,Units,Категория,Value
2015,"1,000 га",пашня,446.7
2015,"1,000 га",многолетние насаждения,57.6
2015,"1,000 га",посевные площади,337.5
2016,"1,000 га",пашня,446.4
2016,"1,000 га",многолетние насаждения,57.6
2016,"1,000 га",посевные площади,353.4
2017,"1,000 га",пашня,446.0
2017,"1,000 га",многолетние насаждения,58.1
2017,"1,000 га",посевные площади,294.5
2018,"1,000 га",пашня,445.6
2018,"1,000 га",многолетние насаждения,59.1
2018,"1,000 га",посевные площади,242.3
2019,"1,000 га",пашня,444.8
2019,"1,000 га",многолетние насаждения,59.9
2019,"1,000 га",посевные площади,227.9
2020,"1,000 га",пашня,444.0
2020,"1,000 га",многолетние насаждения,60.4
2020,"1,000 га",посевные площади,222.7
2021,"1,000 га",пашня,443.4
2021,"1,000 га",многолетние насаждения,61.2
2021,"1,000 га",посевные площади,227.2
2022,"1,000 га",пашня,442.7
2022,"1,000 га",многолетние насаждения,61.2
2022,"1,000 га",посевные площади,212.4
2023,"1,000 га",пашня,441.6
2023,"1,000 га",многолетние насаждения,61.8
2023,"1,000 га",посевные площади,219.9
2024,"1,000 га",пашня,441.6
2024,"1,000 га",многолетние насаждения,63.3
2024,"1,000 га",посевные площади,208.0
