Year,Units,Category,Value
2015,"per 100,000 population",infectious and parasitic diseases,0.3
2016,"per 100,000 population",infectious and parasitic diseases,0.2
2017,"per 100,000 population",infectious and parasitic diseases,0.2
2018,"per 100,000 population",infectious and parasitic diseases,0.1
2019,"per 100,000 population",infectious and parasitic diseases,0.3
2020,"per 100,000 population",infectious and parasitic diseases,0.4
2021,"per 100,000 population",infectious and parasitic diseases,0.8
2022,"per 100,000 population",infectious and parasitic diseases,0.0
2023,"per 100,000 population",infectious and parasitic diseases,0.1
2024,"per 100,000 population",infectious and parasitic diseases,0.1
