"Year","Units","Sex","Age","Category","Value"
"2015","%","","","","1.05"
"2016","%","","","","1.09"
"2017","%","","","","1.12"
"2018","%","","","","1.14"
"2019","%","","","","1.15"
"2020","%","","","","1.11"
"2015","%","male","","","1.33"
"2016","%","male","","","1.39"
"2017","%","male","","","1.42"
"2018","%","male","","","1.46"
"2019","%","male","","","1.48"
"2020","%","male","","","1.4"
"2015","%","female","","","0.74"
"2016","%","female","","","0.76"
"2017","%","female","","","0.77"
"2018","%","female","","","0.78"
"2019","%","female","","","0.77"
"2020","%","female","","","0.78"
"2015","%","","aged 0-4 years","","0.46"
"2016","%","","aged 0-4 years","","0.52"
"2017","%","","aged 0-4 years","","0.5"
"2018","%","","aged 0-4 years","","0.52"
"2019","%","","aged 0-4 years","","0.56"
"2020","%","","aged 0-4 years","","0.58"
"2015","%","","aged 0-4 years","","0.55"
"2016","%","male","aged 0-4 years","","0.64"
"2017","%","male","aged 0-4 years","","0.61"
"2018","%","male","aged 0-4 years","","0.64"
"2019","%","male","aged 0-4 years","","0.7"
"2020","%","male","aged 0-4 years","","0.69"
"2015","%","female","aged 0-4 years","","0.36"
"2016","%","female","aged 0-4 years","","0.38"
"2017","%","female","aged 0-4 years","","0.39"
"2018","%","female","aged 0-4 years","","0.38"
"2019","%","female","aged 0-4 years","","0.41"
"2020","%","female","aged 0-4 years","","0.45"
"2015","%","","aged 5-9 years","","1.04"
"2016","%","","aged 5-9 years","","1.1"
"2017","%","","aged 5-9 years","","1.14"
"2018","%","","aged 5-9 years","","1.12"
"2019","%","","aged 5-9 years","","1.15"
"2020","%","","aged 5-9 years","","1.13"
"2015","%","male","aged 5-9 years","","1.34"
"2016","%","male","aged 5-9 years","","1.39"
"2017","%","male","aged 5-9 years","","1.42"
"2018","%","male","aged 5-9 years","","1.43"
"2019","%","male","aged 5-9 years","","1.48"
"2020","%","male","aged 5-9 years","","1.4"
"2015","%","female","aged 5-9 years","","0.71"
"2016","%","female","aged 5-9 years","","0.76"
"2017","%","female","aged 5-9 years","","0.82"
"2018","%","female","aged 5-9 years","","0.76"
"2019","%","female","aged 5-9 years","","0.78"
"2020","%","female","aged 5-9 years","","0.82"
"2015","%","","aged 10-14 years","","1.47"
"2016","%","","aged 10-14 years","","1.48"
"2017","%","","aged 10-14 years","","1.48"
"2018","%","","aged 10-14 years","","1.5"
"2019","%","","aged 10-14 years","","1.39"
"2020","%","","aged 10-14 years","","1.32"
"2015","%","male","aged 10-14 years","","1.86"
"2016","%","male","aged 10-14 years","","1.92"
"2017","%","male","aged 10-14 years","","1.94"
"2018","%","male","aged 10-14 years","","1.92"
"2019","%","male","aged 10-14 years","","1.81"
"2020","%","male","aged 10-14 years","","1.68"
"2015","%","female","aged 10-14 years","","1.02"
"2016","%","female","aged 10-14 years","","0.97"
"2017","%","female","aged 10-14 years","","0.95"
"2018","%","female","aged 10-14 years","","1.01"
"2019","%","female","aged 10-14 years","","0.92"
"2020","%","female","aged 10-14 years","","0.92"
"2015","%","","aged 15 years","","1.78"
"2016","%","","aged 15 years","","1.98"
"2017","%","","aged 15 years","","2.02"
"2018","%","","aged 15 years","","1.96"
"2019","%","","aged 15 years","","2.04"
"2020","%","","aged 15 years","","1.94"
"2015","%","male","aged 15 years","","2.17"
"2016","%","male","aged 15 years","","2.4"
"2017","%","male","aged 15 years","","2.59"
"2018","%","male","aged 15 years","","2.54"
"2019","%","male","aged 15 years","","2.58"
"2020","%","male","aged 15 years","","2.51"
"2015","%","female","aged 15 years","","1.33"
"2016","%","female","aged 15 years","","1.49"
"2017","%","female","aged 15 years","","1.37"
"2018","%","female","aged 15 years","","1.29"
"2019","%","female","aged 15 years","","1.39"
"2020","%","female","aged 15 years","","1.29"
"2015","%","","aged 16-17 years","","1.45"
"2016","%","","aged 16-17 years","","1.42"
"2017","%","","aged 16-17 years","","1.53"
"2018","%","","aged 16-17 years","","1.64"
"2019","%","","aged 16-17 years","","1.6"
"2020","%","","aged 16-17 years","","1.42"
"2015","%","male","aged 16-17 years","","1.9"
"2016","%","male","aged 16-17 years","","1.79"
"2017","%","male","aged 16-17 years","","1.95"
"2018","%","male","aged 16-17 years","","2.12"
"2019","%","male","aged 16-17 years","","2.13"
"2020","%","male","aged 16-17 years","","1.87"
"2015","%","female","aged 16-17 years","","0.95"
"2016","%","female","aged 16-17 years","","1.01"
"2017","%","female","aged 16-17 years","","1.07"
"2018","%","female","aged 16-17 years","","1.1"
"2019","%","female","aged 16-17 years","","1.0"
"2020","%","female","aged 16-17 years","","0.91"
"2015","%","","","total to the total number of children with disabilities (aged 0-17 years)","93.46"
"2016","%","","","total to the total number of children with disabilities (aged 0-17 years)","92.91"
"2017","%","","","total to the total number of children with disabilities (aged 0-17 years)","94.84"
"2018","%","","","total to the total number of children with disabilities (aged 0-17 years)","97.66"
"2019","%","","","total to the total number of children with disabilities (aged 0-17 years)","93.71"
"2020","%","","","total to the total number of children with disabilities (aged 0-17 years)","89.6"
"2015","%","male","","total to the total number of children with disabilities (aged 0-17 years)","91.33"
"2016","%","male","","total to the total number of children with disabilities (aged 0-17 years)","92.18"
"2017","%","male","","total to the total number of children with disabilities (aged 0-17 years)","93.78"
"2018","%","male","","total to the total number of children with disabilities (aged 0-17 years)","96.89"
"2019","%","male","","total to the total number of children with disabilities (aged 0-17 years)","93.59"
"2020","%","male","","total to the total number of children with disabilities (aged 0-17 years)","87.5"
"2015","%","female","","total to the total number of children with disabilities (aged 0-17 years)","98.19"
"2016","%","female","","total to the total number of children with disabilities (aged 0-17 years)","94.46"
"2017","%","female","","total to the total number of children with disabilities (aged 0-17 years)","97.15"
"2018","%","female","","total to the total number of children with disabilities (aged 0-17 years)","99.34"
"2019","%","female","","total to the total number of children with disabilities (aged 0-17 years)","93.98"
"2020","%","female","","total to the total number of children with disabilities (aged 0-17 years)","94.2"
"2015","%","","aged 0-4 years","","12.46"
"2016","%","","aged 0-4 years","","13.13"
"2017","%","","aged 0-4 years","","12.55"
"2018","%","","aged 0-4 years","","12.51"
