"Year","Units","Category","Sex","Age","Value"
"2015","%","","","","59.1"
"2015","%","","male","","60.8"
"2015","%","","female","","57.8"
"2015","%","","","aged 0-5 years","24.6"
"2015","%","","","aged 5-14 years","62.2"
"2015","%","","","aged 15-24 years","78.3"
"2015","%","","","25+","58.6"
"2016","%","","","","64.3"
"2016","%","","male","","65.5"
"2016","%","","female","","63.4"
"2016","%","","","aged 0-5 years","25.0"
"2016","%","","","aged 5-14 years","68.4"
"2016","%","","","aged 15-24 years","81.9"
"2016","%","","","25+","64.2"
"2017","%","","","","64.7"
"2017","%","","male","","66.3"
"2017","%","","female","","63.4"
"2017","%","","","aged 0-5 years","21.7"
"2017","%","","","aged 5-14 years","69.5"
"2017","%","","","aged 15-24 years","94.2"
"2017","%","","","25+","88.2"
"2018","%","","","","68.2"
"2018","%","","male","","69.9"
"2018","%","","female","","66.9"
"2018","%","","","aged 0-5 years","26.4"
"2018","%","","","aged 5-14 years","70.7"
"2018","%","","","aged 15-24 years","95.0"
"2018","%","","","25+","92.0"
"2019","%","","","","66.5"
"2019","%","","male","","65.8"
"2019","%","","female","","67.2"
"2019","%","","","aged 0-5 years","25.6"
"2019","%","","","aged 5-14 years","73.3"
"2019","%","","","aged 15-24 years","83.0"
"2019","%","","","25+","66.1"
"2020","%","","","","76.5"
"2020","%","","male","","74.9"
"2020","%","","female","","78.1"
"2020","%","","","aged 0-5 years","24.6"
"2020","%","","","aged 5-14 years","85.2"
"2020","%","","","aged 15-24 years","87.2"
"2020","%","","","25+","77.2"
"2021","%","","","","62.6"
"2021","%","","male","","61.1"
"2021","%","","female","","64.0"
"2021","%","","","aged 0-5 years","20.6"
"2021","%","","","aged 5-14 years","70.7"
"2021","%","","","aged 15-24 years","70.6"
"2021","%","","","25+","63.0"
"2022","%","","","","77.0"
"2022","%","","male","","74.4"
"2022","%","","female","","79.3"
"2022","%","","","aged 0-5 years","25.9"
"2022","%","","","aged 5-14 years","82.0"
"2022","%","","","aged 15-24 years","85.5"
"2022","%","","","25+","79.0"
"2023","%","","","","80.0"
"2023","%","","male","","77.9"
"2023","%","","female","","81.9"
"2023","%","","","aged 0-5 years","26.9"
"2023","%","","","aged 5-14 years","84.4"
"2023","%","","","aged 15-24 years","88.8"
"2023","%","","","25+","82.2"
"2024","%","","","","83.4"
"2024","%","","male","","81.6"
"2024","%","","female","","85.0"
"2024","%","","","aged 0-5 years","28.7"
"2024","%","","","aged 5-14 years","84.5"
"2024","%","","","aged 15-24 years","90.6"
"2024","%","","","25+","86.6"
