"Year","Units","Sex","Value"
"2015","per 100,000 population","Total","0.3"
"2016","per 100,000 population","Total","0.2"
"2017","per 100,000 population","Total","0.3"
"2015","case","Total","8.0"
"2016","case","Total","7.0"
"2017","case","Total","10.0"
"2018","per 100,000 population","Total","0.6"
"2018","case","Total","19.0"
"2019","per 100,000 population","Total","1.0"
"2019","case","Total","30.0"
"2020","per 100,000 population","Total","0.3"
"2020","case","Total","10.0"
"2021","per 100,000 population","Total","0.7"
"2021","case","Total","20.0"
"2015","per 100,000 population","man","0.3"
"2015","case","man","5.0"
"2015","per 100,000 population","woman","0.2"
"2015","case","woman","3.0"
"2016","case","man","4.0"
"2016","per 100,000 population","man","0.3"
"2016","case","woman","3.0"
"2016","per 100,000 population","woman","0.2"
"2017","case","man","6.0"
"2017","per 100,000 population","man","0.4"
"2017","case","woman","4.0"
"2017","per 100,000 population","woman","0.3"
"2018","case","man","15.0"
"2018","per 100,000 population","man","1.1"
"2018","case","woman","4.0"
"2018","per 100,000 population","woman","0.3"
"2019","case","man","19.0"
"2019","per 100,000 population","man","1.4"
"2019","case","woman","11.0"
"2019","per 100,000 population","woman","0.7"
"2020","case","man","8.0"
"2020","per 100,000 population","man","0.6"
"2020","case","woman","2.0"
"2020","per 100,000 population","woman","0.1"
"2021","case","man","12.0"
"2021","per 100,000 population","man","0.9"
"2021","case","woman","8.0"
"2021","per 100,000 population","woman","0.5"
