"Year","Units","Value"
"2015","A=compliant, B= partially compliant","A"
"2016","A=compliant, B= partially compliant","A"
"2017","A=compliant, B= partially compliant","A"
"2018","A=compliant, B= partially compliant","A"
"2015","A=compliant, B= partially compliant","A"
"2016","A=compliant, B= partially compliant","A"
"2017","A=compliant, B= partially compliant","A"
"2018","A=compliant, B= partially compliant","A"
"2019","A=compliant, B= partially compliant","A"
"2020","A=compliant, B= partially compliant","A"
"2021","A=compliant, B= partially compliant","A"
"2022","A=compliant, B= partially compliant","A"
"2023","A=compliant, B= partially compliant","A"
"2024","A=compliant, B= partially compliant","A"
