"Year","Policy area","Value"
"2019","Domain 1. Migrant rights","3"
"","Domain 2. Whole of government/Evidence based policies","3"
"","Domain 3. Cooperation and partnerships","4"
"","Domain 4. Socioeconomic well-being","2"
"","Domain 5. Mobility dimensions of crises","4"
"","Domain 6. Safe, orderly and regular migration","4"
"2021","Domain 1. Migrant rights","3"
"","Domain 2. Whole of government/Evidence based policies","3"
"","Domain 3. Cooperation and partnerships","4"
"","Domain 4. Socioeconomic well-being","2"
"","Domain 5. Mobility dimensions of crises","4"
"","Domain 6. Safe, orderly and regular migration","4"
