Year,Units,Category,Value
2015,%,,42.0
2016,%,,41.9
2017,%,,41.0
2018,%,,43.8
2019,%,,42.8
2020,%,,45.3
2015,%,education,8.7
2016,%,education,8.4
2017,%,education,8.3
2018,%,education,10.1
2019,%,education,9.5
2020,%,education,9.1
2015,%,health,6.1
2016,%,health,6.1
2017,%,health,5.5
2018,%,health,5.4
2019,%,health,6.0
2020,%,health,7.7
2015,%,social protection,27.2
2016,%,social protection,27.4
2017,%,social protection,27.2
2018,%,social protection,28.3
2019,%,social protection,27.3
2020,%,social protection,28.5
