"Year","Units","Series","Value"
"2015","score","Progress toward productive and sustainable agriculture, trend score","3"
"2016","score","Progress toward productive and sustainable agriculture, trend score","1.86"
"2017","score","Progress toward productive and sustainable agriculture, trend score","2.57"
"2018","score","Progress toward productive and sustainable agriculture, trend score","2.43"
"2019","score","Progress toward productive and sustainable agriculture, trend score","2.29"
"2020","score","Progress toward productive and sustainable agriculture, trend score","2.29"
"2021","score","Progress toward productive and sustainable agriculture, trend score","2.29"
"2022","score","Progress toward productive and sustainable agriculture, trend score","2.29"
"2023","score","Progress toward productive and sustainable agriculture, trend score","2.29"
"2024","score","Progress toward productive and sustainable agriculture, trend score","2.29"
"2015","score","Progress toward productive and sustainable agriculture, current status score","2.71"
"2016","score","Progress toward productive and sustainable agriculture, current status score","2.57"
"2017","score","Progress toward productive and sustainable agriculture, current status score","2.71"
"2018","score","Progress toward productive and sustainable agriculture, current status score","2.71"
"2019","score","Progress toward productive and sustainable agriculture, current status score","2.71"
"2020","score","Progress toward productive and sustainable agriculture, current status score","2.71"
"2021","score","Progress toward productive and sustainable agriculture, current status score","2.86"
"2022","score","Progress toward productive and sustainable agriculture, current status score","2.86"
"2023","score","Progress toward productive and sustainable agriculture, current status score","3"
"2024","score","Progress toward productive and sustainable agriculture, current status score","3"
