Year,Units,Կրթության տեսակ,Սեռ,Value
2015,%,միջնակարգ,,86.4
2016,%,միջնակարգ,,86.0
2017,%,միջնակարգ,,85.7
2018,%,միջնակարգ,,83.0
2019,%,միջնակարգ,,83.2
2020,%,միջնակարգ,,83.2
2015,%,միջնակարգ,արական,84.6
2016,%,միջնակարգ,արական,84.7
2017,%,միջնակարգ,արական,84.6
2018,%,միջնակարգ,արական,81.4
2019,%,միջնակարգ,արական,81.7
2020,%,միջնակարգ,արական,81.8
2015,%,միջնակարգ,իգական,88.3
2016,%,միջնակարգ,իգական,87.5
2017,%,միջնակարգ,իգական,87.0
2018,%,միջնակարգ,իգական,84.7
2019,%,միջնակարգ,իգական,85.0
2020,%,միջնակարգ,իգական,84.9
2015,%,տարրական,,91.6
2016,%,տարրական,,91.2
2017,%,տարրական,,91.3
2018,%,տարրական,,91.1
2019,%,տարրական,,92.9
2020,%,տարրական,,93.2
2015,%,տարրական,արական,91.6
2016,%,տարրական,արական,91.3
2017,%,տարրական,արական,91.5
2018,%,տարրական,արական,90.9
2019,%,տարրական,արական,92.3
2020,%,տարրական,արական,93.0
2015,%,տարրական,իգական,91.6
2016,%,տարրական,իգական,91.2
2017,%,տարրական,իգական,91.1
2018,%,տարրական,իգական,91.4
2019,%,տարրական,իգական,93.6
2020,%,տարրական,իգական,93.5
2015,%,հիմնական,,96.3
2016,%,հիմնական,,90.7
2017,%,հիմնական,,90.1
2018,%,հիմնական,,89.4
2019,%,հիմնական,,90.0
2020,%,հիմնական,,90.6
2015,%,հիմնական,արական,95.9
2016,%,հիմնական,արական,90.3
2017,%,հիմնական,արական,89.8
2018,%,հիմնական,արական,88.8
2019,%,հիմնական,արական,89.4
2020,%,հիմնական,արական,90.2
2015,%,հիմնական,իգական,96.7
2016,%,հիմնական,իգական,91.0
2017,%,հիմնական,իգական,90.4
2018,%,հիմնական,իգական,90.1
2019,%,հիմնական,իգական,90.6
2020,%,հիմնական,իգական,91.1
2015,%,ավագ,,57.9
2016,%,ավագ,,65.1
2017,%,ավագ,,65.5
2018,%,ավագ,,59.9
2019,%,ավագ,,59.5
2020,%,ավագ,,57.9
2015,%,ավագ,արական,53.1
2016,%,ավագ,արական,59.4
2017,%,ավագ,արական,60.5
2018,%,ավագ,արական,54.8
2019,%,ավագ,արական,54.5
2020,%,ավագ,արական,53.0
2015,%,ավագ,իգական,63.5
2016,%,ավագ,իգական,71.7
2017,%,ավագ,իգական,71.1
2018,%,ավագ,իգական,65.7
2019,%,ավագ,իգական,65.1
2020,%,ավագ,իգական,63.5
2015,%,նախնական մասնագիտական (արհեստագործական),,7.2
2016,%,նախնական մասնագիտական (արհեստագործական),,8.1
2017,%,նախնական մասնագիտական (արհեստագործական),,8.6
2018,%,նախնական մասնագիտական (արհեստագործական),,6.7
2019,%,նախնական մասնագիտական (արհեստագործական),,6.3
2020,%,նախնական մասնագիտական (արհեստագործական),,6.2
2015,%,նախնական մասնագիտական (արհեստագործական),արական,9.8
2016,%,նախնական մասնագիտական (արհեստագործական),արական,10.9
2017,%,նախնական մասնագիտական (արհեստագործական),արական,11.4
2018,%,նախնական մասնագիտական (արհեստագործական),արական,9.2
2019,%,նախնական մասնագիտական (արհեստագործական),արական,8.9
2020,%,նախնական մասնագիտական (արհեստագործական),արական,8.9
2015,%,նախնական մասնագիտական (արհեստագործական),իգական,4.2
2016,%,նախնական մասնագիտական (արհեստագործական),իգական,4.9
2017,%,նախնական մասնագիտական (արհեստագործական),իգական,5.4
2018,%,նախնական մասնագիտական (արհեստագործական),իգական,3.9
2019,%,նախնական մասնագիտական (արհեստագործական),իգական,3.3
2020,%,նախնական մասնագիտական (արհեստագործական),իգական,3.1
2015,%,միջին մասնագիտական,,10.9
2016,%,միջին մասնագիտական,,11.1
2017,%,միջին մասնագիտական,,11.5
2018,%,միջին մասնագիտական,,11.7
2019,%,միջին մասնագիտական,,12.5
2020,%,միջին մասնագիտական,,13.9
2015,%,միջին մասնագիտական,արական,9.5
2016,%,միջին մասնագիտական,արական,9.8
2017,%,միջին մասնագիտական,արական,10.0
2018,%,միջին մասնագիտական,արական,10.4
2019,%,միջին մասնագիտական,արական,11.2
2020,%,միջին մասնագիտական,արական,12.8
2015,%,միջին մասնագիտական,իգական,12.5
2016,%,միջին մասնագիտական,իգական,12.5
2017,%,միջին մասնագիտական,իգական,13.1
2018,%,միջին մասնագիտական,իգական,13.1
2019,%,միջին մասնագիտական,իգական,13.9
2020,%,միջին մասնագիտական,իգական,15.1
2015,%,"specialized high education, first stage (bachelor's Degree)",,52.9
2016,%,"specialized high education, first stage (bachelor's Degree)",,54.1
2017,%,"specialized high education, first stage (bachelor's Degree)",,56.4
2018,%,"specialized high education, first stage (bachelor's Degree)",,52.2
2019,%,"specialized high education, first stage (bachelor's Degree)",,50.4
2020,%,"specialized high education, first stage (bachelor's Degree)",,54.4
2015,%,"specialized high education, first stage (bachelor's Degree)",արական,47.0
2016,%,"specialized high education, first stage (bachelor's Degree)",արական,48.6
2017,%,"specialized high education, first stage (bachelor's Degree)",արական,51.5
2018,%,"specialized high education, first stage (bachelor's Degree)",արական,48.2
2019,%,"specialized high education, first stage (bachelor's Degree)",արական,44.8
2020,%,"specialized high education, first stage (bachelor's Degree)",արական,48.3
2015,%,"specialized high education, first stage (bachelor's Degree)",իգական,59.1
2016,%,"specialized high education, first stage (bachelor's Degree)",իգական,60.0
2017,%,"specialized high education, first stage (bachelor's Degree)",իգական,61.8
2018,%,"specialized high education, first stage (bachelor's Degree)",իգական,56.6
2019,%,"specialized high education, first stage (bachelor's Degree)",իգական,56.6
2020,%,"specialized high education, first stage (bachelor's Degree)",իգական,61.1
2015,%,"post-graduate education, second stage (master's Degree)",,12.7
2016,%,"post-graduate education, second stage (master's Degree)",,13.1
2017,%,"post-graduate education, second stage (master's Degree)",,14.8
2018,%,"post-graduate education, second stage (master's Degree)",,14.1
2019,%,"post-graduate education, second stage (master's Degree)",,14.6
2020,%,"post-graduate education, second stage (master's Degree)",,15.7
2015,%,"post-graduate education, second stage (master's Degree)",արական,9.9
2016,%,"post-graduate education, second stage (master's Degree)",արական,10.7
2017,%,"post-graduate education, second stage (master's Degree)",արական,9.9
2018,%,"post-graduate education, second stage (master's Degree)",արական,8.9
2019,%,"post-graduate education, second stage (master's Degree)",արական,9.1
2020,%,"post-graduate education, second stage (master's Degree)",արական,9.5
2015,%,"post-graduate education, second stage (master's Degree)",իգական,15.5
2016,%,"post-graduate education, second stage (master's Degree)",իգական,15.4
2017,%,"post-graduate education, second stage (master's Degree)",իգական,19.6
2018,%,"post-graduate education, second stage (master's Degree)",իգական,19.4
2019,%,"post-graduate education, second stage (master's Degree)",իգական,20.3
2020,%,"post-graduate education, second stage (master's Degree)",իգական,22.4
