Year,Units,Прокси E,Value
2015,Количество применимых прокси,Not available,3
2016,Количество применимых прокси,Not available,3
2017,Количество применимых прокси,Not available,3
2018,Количество применимых прокси,Not available,3
2019,Количество применимых прокси,Not available,3
2020,Количество применимых прокси,Not available,3
2021,Количество применимых прокси,Not available,3
2022,Количество применимых прокси,Not available,3
2023,Количество применимых прокси,Not available,3
2024,Количество применимых прокси,Not available,3
