Year,Units,Կատեգորիա,Value
2015,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.3
2016,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.2
2017,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.2
2018,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.1
2019,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.3
2020,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.4
2021,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.8
2022,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.0
2023,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.1
2024,"100,000 բնակչի հաշվով",վարակիչ և մակաբուծական հիվանդություններ,0.1
