Year,Units,Կատեգորիա,Տարիք,Սեռ,Գտնվելու վայրը,Value
2015,%,,15-75,,,18.5
2016,%,,15-75,,,18.0
2017,%,,15-75,,,17.8
2018,%,,15-74,,,19.0
2019,%,,15-74,,,18.3
2020,%,,15-74,,,18.2
2018,%,,15-29,,,26.7
2015,%,,15-75,տղամարդ,,17.6
2016,%,,15-75,տղամարդ,,18.1
2017,%,,15-75,տղամարդ,,18.0
2018,%,,15-74,տղամարդ,,17.9
2019,%,,15-74,տղամարդ,,17.5
2020,%,,15-74,տղամարդ,,19.1
2018,%,,30-44,,,19.5
2015,%,,15-75,կին,,19.5
2016,%,,15-75,կին,,17.8
2017,%,,15-75,կին,,17.5
2018,%,,15-74,կին,,20.4
2019,%,,15-74,կին,,19.3
2020,%,,15-74,կին,,17.2
2018,%,,45-59,,,14.9
2015,%,,15-75,,քաղաք,27.0
2016,%,,15-75,,քաղաք,26.8
2017,%,,15-75,,քաղաք,25.4
2018,%,,15-74,,քաղաք,24.9
2019,%,,15-74,,քաղաք,22.6
2020,%,,15-74,,քաղաք,22.3
2018,%,,60-74,,,12.9
2015,%,,15-75,,գյուղ,6.7
2016,%,,15-75,,գյուղ,5.7
2017,%,,15-75,,գյուղ,7.4
2018,%,,15-74,,գյուղ,11.3
2019,%,,15-74,,գյուղ,11.4
2020,%,,15-74,,գյուղ,12.1
2021,%,հաշմանդամություն ունեցող,15-74,,,15.4
2015,%,,15-24,,,32.5
2016,%,,15-24,,,36.6
2017,%,,15-24,,,38.4
2018,%,,15-24,,,33.5
2019,%,,15-24,,,32.6
2020,%,,15-24,,,32.3
2015,%,,15-24,տղամարդ,,28.6
2016,%,,15-24,տղամարդ,,29.8
2017,%,,15-24,տղամարդ,,33.1
2019,%,,15-29,,,25.7
2019,%,,30-44,,,18.1
2020,%,,15-29,,,26.5
2015,%,,15-24,կին,,37.2
2016,%,,15-24,կին,,46.0
2017,%,,15-24,կին,,45.0
2019,%,,45-59,,,15.6
2019,%,,60-74,,,12.5
2020,%,,30-44,,,19.2
2015,%,,15-24,,քաղաք,42.5
2016,%,,15-24,,քաղաք,50.1
2017,%,,15-24,,քաղաք,48.8
2020,%,,15-64,,,18.6
2019,%,,15-64,,,18.6
2020,%,,45-59,,,14.8
2015,%,,15-24,,գյուղ,18.9
2016,%,,15-24,,գյուղ,19.5
2017,%,,15-24,,գյուղ,22.2
2018,%,,15-64,,,19.3
2021,%,,15-74,,,15.5
2020,%,,60-74,,,12.0
2015,%,հաշմանդամություն ունեցող,15-75,,,15.7
2016,%,հաշմանդամություն ունեցող,15-75,,,18.9
2017,%,հաշմանդամություն ունեցող,15-75,,,14.1
2018,%,հաշմանդամություն ունեցող,15-74,,,20.6
2019,%,հաշմանդամություն ունեցող,15-74,,,17.7
2020,%,հաշմանդամություն ունեցող,15-74,,,13.7
2021,%,,15-24,,,30.5
2021,%,,15-29,,,24.4
2021,%,,30-44,,,15.0
2021,%,,45-59,,,14.1
2021,%,,60-74,,,8.6
2021,%,,15-64,,,15.9
2021,%,,15-74,տղամարդ,,15.7
2021,%,,15-74,կին,,15.2
2021,%,,15-74,,քաղաք,20.3
2021,%,,15-74,,գյուղ,8.8
