Value,Disaggregation combinations using this value,Number of indicators
Fungi,1,1
Higher plants,1,1
Invertebrates,1,1
Long Tearm Strategy,1,1
"National Communication, https://unfccc.int/sites/default/files/resource/NC4_Armenia_.pdf",1,1
"National Greenhouse Gas Inventory Report, https://unfccc.int/sites/default/files/resource/NIR%202019_EN.pdf",1,1
Nationally Adaptation Plan,1,1
Nationally Determined Contributions,1,1
Red List Index,1,1
Vertebrates,1,1
Փոքր արդյունաբերական ձեռնարկությունների համամասնությունն ամբողջ արդյունաբերության ավելացված արժեքում,1,1
