Value,Disaggregation combinations using this value,Number of indicators
At least one ultrasound examination during pregnancy,1,1
Case of death from leishmaniosis,1,1
"Consumer Prices, Food Indices (2015 = 100)",2,2
"During the first two days after birth, the mother's postnatal check",1,1
"During the first two days after birth, the newborn testing",1,1
"Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index, Total",2,2
Number of beneficiaries receiving maternity benefits granted to non-employed person at the end of the year,1,1
Number of patients with leishmaniasis,1,1
Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics,3,1
Proportion of children at the end of primary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics,3,1
Providing antenatal care and care by qualified specialis,1,1
Share of poor population who receive family benefit,1,1
"Share of poor population who receive social assistance, including family benefit",1,1
"The share of beneficiaries of old age, disability and in case of losing a breadwinner to the total number of population at the end of the year",24,1
The share of families receiving family benefits to households,1,1
The share of families receiving social benefits to households,1,1
The share of pensioners to the total number of population at the end of the year,45,1
Total,1,1
