Year,Units,Место нахождения,Пол,Бедность,Категория,Quintiles,Value
2015,%,,,,,,2.7
2016,%,,,,,,2.7
2019,%,,,,,,2.3
2020,%,,,,,,1.5
2021,%,,,,,,1.1
2022,%,,,,,,2.7
2023,%,,,,,,2.0
2019,%,город,,,,,2.5
2020,%,город,,,,,1.8
2021,%,город,,,,,1.2
2022,%,город,,,,,3.4
2023,%,город,,,,,2.3
2019,%,село,,,,,2.0
2020,%,село,,,,,1.2
2021,%,село,,,,,0.8
2022,%,село,,,,,1.6
2023,%,село,,,,,1.5
2019,%,,мужчина,,,,2.2
2020,%,,мужчина,,,,1.6
2021,%,,мужчина,,,,1.0
2022,%,,мужчина,,,,2.6
2023,%,,мужчина,,,,2.0
2019,%,,женщина,,,,2.3
2020,%,,женщина,,,,1.5
2021,%,,женщина,,,,1.1
2022,%,,женщина,,,,2.8
2023,%,,женщина,,,,2.0
2019,%,,,не бедный,,,1.7
2020,%,,,не бедный,,,1.3
2021,%,,,не бедный,,,0.9
2022,%,,,не бедный,,,1.9
2023,%,,,не бедный,,,1.9
2019,%,,,бедный,,,4.0
2020,%,,,бедный,,,2.1
2021,%,,,бедный,,,1.5
2022,%,,,бедный,,,4.6
2023,%,,,бедный,,,2.2
2019,%,,,крайне бедный,,,6.6
2020,%,,,крайне бедный,,,3.5
2021,%,,,крайне бедный,,,0.0
2022,%,,,крайне бедный,,,7.2
2023,%,,,крайне бедный,,,5.5
2019,%,,,,инвалиды,,3.1
2020,%,,,,инвалиды,,2.0
2021,%,,,,инвалиды,,1.4
2022,%,,,,инвалиды,,4.0
2023,%,,,,инвалиды,,2.5
2019,%,,,,,I-й квинтиль,4.4
2020,%,,,,,I-й квинтиль,2.3
2021,%,,,,,I-й квинтиль,1.6
2022,%,,,,,I-й квинтиль,5.0
2023,%,,,,,I-й квинтиль,2.3
2019,%,,,,,II-ой квинтиль,2.0
2020,%,,,,,II-ой квинтиль,1.3
2021,%,,,,,II-ой квинтиль,0.9
2022,%,,,,,II-ой квинтиль,3.0
2023,%,,,,,II-ой квинтиль,2.0
2019,%,,,,,III-й квинтиль,1.9
2020,%,,,,,III-й квинтиль,1.3
2021,%,,,,,III-й квинтиль,1.1
2022,%,,,,,III-й квинтиль,1.5
2023,%,,,,,III-й квинтиль,1.9
2019,%,,,,,IV-й квинтиль,1.9
2020,%,,,,,IV-й квинтиль,1.3
2021,%,,,,,IV-й квинтиль,1.1
2022,%,,,,,IV-й квинтиль,2.7
2023,%,,,,,IV-й квинтиль,1.9
2019,%,,,,,V-й квинтиль,1.3
2020,%,,,,,V-й квинтиль,1.4
2021,%,,,,,V-й квинтиль,0.6
2022,%,,,,,V-й квинтиль,1.4
2023,%,,,,,V-й квинтиль,1.8
