Year,Units,Սեռ,Տարիք,Տեսակ,Value
2020,%,տղամարդ,,,81.2
2021,%,տղամարդ,,,77.0
2022,%,տղամարդ,,,74.0
2023,%,տղամարդ,,,72.1
2020,%,կին,,,79.1
2021,%,կին,,,76.6
2022,%,կին,,,74.2
2023,%,կին,,,71.6
2020,%,,15-24 տարեկան,,79.2
2021,%,,15-24 տարեկան,,76.1
2022,%,,15-24 տարեկան,,74.6
2023,%,,15-24 տարեկան,,72.6
2020,%,,25-64 տարեկան,,80.8
2021,%,,25-64 տարեկան,,76.7
2022,%,,25-64 տարեկան,,73.9
2023,%,,25-64 տարեկան,,71.4
2020,%,,65 և բարձր տարիքի,,77.6
2021,%,,65 և բարձր տարիքի,,78.4
2022,%,,65 և բարձր տարիքի,,72.3
2023,%,,65 և բարձր տարիքի,,70.1
2020,%,,,հաշմանդամներ,78.1
2021,%,,,հաշմանդամներ,78.5
2022,%,,,հաշմանդամներ,75.6
2023,%,,,հաշմանդամներ,71.7
2020,%,,,,80.1
2021,%,,,,76.7
2022,%,,,,74.1
2023,%,,,,71.8
