Year,Value,Units
2015,11.5,"per 100,000 population"
2016,8.9,"per 100,000 population"
2017,9.4,"per 100,000 population"
2018,11.6,"per 100,000 population"
2019,11.5,"per 100,000 population"
2020,11.8,"per 100,000 population"
2015,346.0,person
2016,267.0,person
2017,279.0,person
2018,343.0,person
2019,341.0,person
2020,348.0,person
2021,368.0,person
2021,12.4,"per 100,000 population"
2022,321.0,person
2022,10.8,"per 100,000 population"
2023,12.8,"per 100,000 population"
2023,378.0,person
2024,11.0,"per 100,000 population"
2024,333.0,person
