Year,Value,Units
2015.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q8
,3.6,Score
2016.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q8
,3.6,Score
2017.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q7
,3.6,Score
2018.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q8
,3.6,Score
2019.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q8
,3.6,Score
2020.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q8
,3.6,Score
2021.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q8
,3.6,Score
2022.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q8
,3.6,Score
2023.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q6
,0.0,Q7
,0.0,Q8
,3.6,Score
2024.0,,
,1.0,Q1
,0.0,Q2
,1.0,Q3
,0.6,Q4
,1.0,Q5
,0.0,Q5
,0.0,Q7
,0.0,Q8
,3.6,Score
