Year,Units,Կատեգորիա,Տարիք,Սեռ,Գտնվելու վայրը,Value
2015,%,,15-29,,,34.5
2016,%,,15-29,,,34.6
2017,%,,15-29,,,34.6
2018,%,,15-29,,,32.7
2019,%,,15-29,,,31.0
2020,%,,15-29,,,31.0
2015,%,,15-29,տղամարդ,,23.5
2016,%,,15-29,տղամարդ,,22.7
2017,%,,15-29,տղամարդ,,23.4
2018,%,,15-29,տղամարդ,,21.2
2019,%,,15-29,տղամարդ,,20.8
2020,%,,15-29,տղամարդ,,22.6
2015,%,,15-29,կին,,44.6
2016,%,,15-29,կին,,46.5
2017,%,,15-29,կին,,45.9
2018,%,,15-29,կին,,44.0
2019,%,,15-29,կին,,41.6
2020,%,,15-29,կին,,39.9
2015,%,,15-29,,քաղաք,36.1
2016,%,,15-29,,քաղաք,35.7
2017,%,,15-29,,քաղաք,35.9
2018,%,,15-29,,քաղաք,30.8
2019,%,,15-29,,քաղաք,30.2
2020,%,,15-29,,քաղաք,28.0
2015,%,,15-29,,գյուղ,32.2
2016,%,,15-29,,գյուղ,32.9
2017,%,,15-29,,գյուղ,32.7
2018,%,,15-29,,գյուղ,34.9
2019,%,,15-29,,գյուղ,32.2
2020,%,,15-29,,գյուղ,34.9
2015,%,,15-19,,,13.1
2016,%,,15-19,,,14.2
2017,%,,15-19,,,15.6
2018,%,,15-19,,,11.3
2019,%,,15-19,,,8.6
2020,%,,15-19,,,9.5
2015,%,,15-19,տղամարդ,,9.8
2016,%,,15-19,տղամարդ,,11.3
2017,%,,15-19,տղամարդ,,12.0
2018,%,,15-19,տղամարդ,,7.3
2019,%,,15-19,տղամարդ,,5.4
2020,%,,15-19,տղամարդ,,6.8
2015,%,,15-19,կին,,16.6
2016,%,,15-19,կին,,17.7
2017,%,,15-19,կին,,20.2
2018,%,,15-19,կին,,14.9
2019,%,,15-19,կին,,12.3
2020,%,,15-19,կին,,12.4
2015,%,,15-19,,քաղաք,14.0
2016,%,,15-19,,քաղաք,13.4
2017,%,,15-19,,քաղաք,14.8
2018,%,,15-19,,քաղաք,9.5
2019,%,,15-19,,քաղաք,6.7
2020,%,,15-19,,քաղաք,10.2
2015,%,,15-19,,գյուղ,12.0
2016,%,,15-19,,գյուղ,15.1
2017,%,,15-19,,գյուղ,16.4
2018,%,,15-19,,գյուղ,13.2
2019,%,,15-19,,գյուղ,10.9
2020,%,,15-19,,գյուղ,8.5
2015,%,,20-24,,,39.5
2016,%,,20-24,,,40.9
2017,%,,20-24,,,40.3
2018,%,,20-24,,,37.8
2019,%,,20-24,,,36.3
2020,%,,20-24,,,36.2
2015,%,,20-24,տղամարդ,,29.3
2016,%,,20-24,տղամարդ,,27.8
2017,%,,20-24,տղամարդ,,29.7
2018,%,,20-24,տղամարդ,,24.6
2019,%,,20-24,տղամարդ,,29.3
2020,%,,20-24,տղամարդ,,28.1
2015,%,,20-24,կին,,48.4
2016,%,,20-24,կին,,52.7
2017,%,,20-24,կին,,50.1
2018,%,,20-24,կին,,50.4
2019,%,,20-24,կին,,43.5
2020,%,,20-24,կին,,44.9
2015,%,,20-24,,քաղաք,38.8
2016,%,,20-24,,քաղաք,41.2
2017,%,,20-24,,քաղաք,40.2
2018,%,,20-24,,քաղաք,32.3
2019,%,,20-24,,քաղաք,31.7
2020,%,,20-24,,քաղաք,29.3
2015,%,,20-24,,գյուղ,40.4
2016,%,,20-24,,գյուղ,40.5
2017,%,,20-24,,գյուղ,40.4
2018,%,,20-24,,գյուղ,43.7
